GENESIS-Tabelle: 12613-020Z
Gestorbene (je 1000 EW);;;
auf Gemeinden (Gebietsstand 01.01.23);;;
Sterbefälle;;;
;;;Gestorbene je 1000 Einwohner
;;;je 1000 Ew
1983;14627130;      Lommatzsch, Stadt;14,8
1983;14627140;      Meißen, Stadt;16,6
1983;14627150;      Moritzburg;13,9
1983;14627170;      Niederau;12,6
1983;14627180;      Nossen, Stadt;13,9
1983;14627190;      Nünchritz;12,1
1983;14627200;      Priestewitz;14,2
1983;14627210;      Radebeul, Stadt;17,8
1983;14627220;      Radeburg, Stadt;13,3
1983;14627230;      Riesa, Stadt;10,5
1983;14627240;      Röderaue;14,9
1983;14627250;      Schönfeld;10,2
1983;14627260;      Stauchitz;9,7
1983;14627270;      Strehla, Stadt;19,4
1983;14627290;      Thiendorf;15,4
1983;14627310;      Weinböhla;16,3
1983;14627340;      Wülknitz;18,3
1983;14627360;      Zeithain;11,4
1983;14628;    Sächsische Schweiz-Osterzgebirge, Landkreis;14,8
1983;14628010;      Altenberg, Stadt;13,4
1983;14628020;      Bad Gottleuba-Berggießhübel, Stadt;20,1
1983;14628030;      Bad Schandau, Stadt;15,1
1983;14628040;      Bahretal;13,0
1983;14628050;      Bannewitz;16,4
1983;14628060;      Dippoldiswalde, Stadt;15,9
1983;14628070;      Dohma;13,1
1983;14628080;      Dohna, Stadt;14,4
1983;14628090;      Dorfhain;16,5
1983;14628100;      Dürrröhrsdorf-Dittersbach;13,5
1983;14628110;      Freital, Stadt;15,8
1983;14628130;      Glashütte, Stadt;13,9
1983;14628140;      Gohrisch;13,8
1983;14628150;      Hartmannsdorf-Reichenau;10,7
1983;14628160;      Heidenau, Stadt;12,7
1983;14628170;      Hermsdorf/Erzgeb.;10,2
1983;14628190;      Hohnstein, Stadt;13,3
1983;14628205;      Klingenberg;14,6
1983;14628210;      Königstein/Sächs. Schw., Stadt;15,7
1983;14628220;      Kreischa;16,5
1983;14628230;      Liebstadt, Stadt;9,1
1983;14628240;      Lohmen;11,7
1983;14628250;      Müglitztal;20,4
1983;14628260;      Neustadt in Sachsen, Stadt;12,9
1983;14628270;      Pirna, Stadt;12,6
1983;14628300;      Rabenau, Stadt;15,5
1983;14628310;      Rathen, Kurort;21,4
1983;14628320;      Rathmannsdorf;14,6
1983;14628330;      Reinhardtsdorf-Schöna;20,9
1983;14628340;      Rosenthal-Bielatal;47,0
1983;14628360;      Sebnitz, Stadt;16,6
1983;14628370;      Stadt Wehlen, Stadt;13,8
1983;14628380;      Stolpen, Stadt;14,2
1983;14628390;      Struppen;16,1
1983;14628400;      Tharandt, Stadt;14,5
1983;14628410;      Wilsdruff, Stadt;16,4
1983;147;  Leipzig, NUTS 2-Region;14,2
1983;14713;    Leipzig, Stadt;14,5
1983;14713000;      Leipzig, Stadt;14,5
1983;14729;    Leipzig, Landkreis;14,6
1983;14729010;      Bad Lausick, Stadt;14,0
1983;14729020;      Belgershain;16,3
1983;14729030;      Bennewitz;14,8
1983;14729040;      Böhlen, Stadt;15,9
1983;14729050;      Borna, Stadt;15,9
1983;14729060;      Borsdorf;14,7
1983;14729070;      Brandis, Stadt;27,7
1983;14729080;      Colditz, Stadt;11,6
1983;14729100;      Elstertrebnitz;13,4
1983;14729140;      Frohburg, Stadt;14,7
1983;14729150;      Geithain, Stadt;10,9
1983;14729160;      Grimma, Stadt;13,5
1983;14729170;      Groitzsch, Stadt;13,6
1983;14729190;      Großpösna;11,1
1983;14729220;      Kitzscher, Stadt;9,1
1983;14729245;      Lossatal;14,8
1983;14729250;      Machern;21,9
1983;14729260;      Markkleeberg, Stadt;14,5
1983;14729270;      Markranstädt, Stadt;17,8
1983;14729300;      Naunhof, Stadt;13,8
1983;14729320;      Neukieritzsch;12,9
1983;14729330;      Otterwisch;15,6
1983;14729340;      Parthenstein;12,4
1983;14729350;      Pegau, Stadt;14,7
1983;14729360;      Regis-Breitingen, Stadt;16,0
1983;14729370;      Rötha, Stadt;13,2
1983;14729380;      Thallwitz;19,3
1983;14729400;      Trebsen/Mulde, Stadt;16,1
1983;14729410;      Wurzen, Stadt;12,9
1983;14729430;      Zwenkau, Stadt;13,9
1983;14730;    Nordsachsen, Landkreis;13,1
1983;14730010;      Arzberg;9,8
1983;14730020;      Bad Düben, Stadt;7,6
1983;14730030;      Beilrode;12,5
1983;14730045;      Belgern-Schildau, Stadt;17,3
1983;14730050;      Cavertitz;14,3
1983;14730060;      Dahlen, Stadt;17,8
1983;14730070;      Delitzsch, Stadt;11,1
1983;14730080;      Doberschütz;13,8
1983;14730090;      Dommitzsch, Stadt;15,7
1983;14730100;      Dreiheide;13,7
1983;14730110;      Eilenburg, Stadt;14,3
1983;14730120;      Elsnig;8,5
1983;14730140;      Jesewitz;12,0
1983;14730150;      Krostitz;13,2
1983;14730160;      Laußig;9,1
1983;14730170;      Liebschützberg;10,0
1983;14730180;      Löbnitz;31,0
1983;14730190;      Mockrehna;11,1
1983;14730200;      Mügeln, Stadt;14,5
1983;14730210;      Naundorf;16,1
1983;14730230;      Oschatz, Stadt;11,0
1983;14730250;      Rackwitz;11,4
1983;14730270;      Schkeuditz, Stadt;15,0
1983;14730280;      Schönwölkau;11,3
1983;14730300;      Taucha, Stadt;16,9
1983;14730310;      Torgau, Stadt;11,0
1983;14730320;      Trossin;15,7
1983;14730330;      Wermsdorf;14,5
1983;14730340;      Wiedemar;14,1
1983;14730360;      Zschepplin;12,6
1984;14;Freistaat Sachsen;14,5
1984;145;  Chemnitz, NUTS 2-Region;15,5
1984;14511;    Chemnitz, Stadt;14,2
1984;14511000;      Chemnitz, Stadt;14,2
1984;14521;    Erzgebirgskreis;14,7
1984;14521010;      Amtsberg;11,4
1984;14521020;      Annaberg-Buchholz, Stadt;18,1
1984;14521035;      Aue-Bad Schlema, Stadt;15,8
1984;14521040;      Auerbach (Erzgebirgskreis);12,6
1984;14521060;      Bärenstein;17,7
1984;14521080;      Bockau;19,4
1984;14521090;      Börnichen/Erzgeb.;7,0
1984;14521110;      Breitenbrunn/Erzgeb.;14,3
1984;14521120;      Burkhardtsdorf;19,2
1984;14521130;      Crottendorf;16,1
1984;14521140;      Deutschneudorf;15,5
1984;14521150;      Drebach;11,8
1984;14521160;      Ehrenfriedersdorf, Stadt;16,5
1984;14521170;      Eibenstock, Stadt;16,5
1984;14521180;      Elterlein, Stadt;15,8
1984;14521200;      Gelenau/Erzgeb.;14,6
1984;14521210;      Geyer, Stadt;14,5
1984;14521220;      Gornau/Erzgeb.;14,3
1984;14521230;      Gornsdorf;18,8
1984;14521240;      Großolbersdorf;11,2
1984;14521250;      Großrückerswalde;12,8
1984;14521260;      Grünhain-Beierfeld, Stadt;10,9
1984;14521270;      Grünhainichen;15,9
1984;14521280;      Heidersdorf;15,3
1984;14521290;      Hohndorf;17,4
1984;14521310;      Jahnsdorf/Erzgeb.;21,1
1984;14521320;      Johanngeorgenstadt, Stadt;12,6
1984;14521330;      Jöhstadt, Stadt;13,7
1984;14521340;      Königswalde;11,3
1984;14521355;      Lauter-Bernsbach, Stadt;14,5
1984;14521370;      Lößnitz, Stadt;16,3
1984;14521380;      Lugau/Erzgeb., Stadt;14,8
1984;14521390;      Marienberg, Stadt;11,5
1984;14521400;      Mildenau;12,4
1984;14521410;      Neukirchen/Erzgeb.;17,7
1984;14521420;      Niederdorf;13,6
1984;14521430;      Niederwürschnitz;14,7
1984;14521440;      Oberwiesenthal, Kurort, Stadt;11,5
1984;14521450;      Oelsnitz/Erzgeb., Stadt;18,2
1984;14521460;      Olbernhau, Stadt;17,7
1984;14521495;      Pockau-Lengefeld, Stadt;13,2
