group;week;Low normal range;High normal range;Baseline;Substantial increase;Observed count
0to14;2020-09;315.15;401.63;357.52;447.42;361
0to14;2020-10;314.95;401.4;357.3;447.18;371
0to14;2020-11;314.74;401.17;357.09;446.94;371
0to14;2020-12;314.53;400.94;356.86;446.69;357
0to14;2020-13;314.32;400.7;356.64;446.44;372
0to14;2020-14;314.11;400.47;356.42;446.2;346
0to14;2020-15;313.9;400.24;356.2;445.96;358
0to14;2020-16;313.69;400.01;355.98;445.73;335
0to14;2020-17;313.49;399.79;355.77;445.5;340
0to14;2020-18;313.29;399.58;355.56;445.29;330
0to14;2020-19;313.09;399.38;355.36;445.08;331
0to14;2020-20;312.9;399.19;355.17;444.89;344
0to14;2020-21;312.71;399;354.98;444.7;336
0to14;2020-22;312.53;398.83;354.8;444.53;331
0to14;2020-23;312.36;398.66;354.64;444.37;356
0to14;2020-24;312.2;398.51;354.48;444.23;321
0to14;2020-25;312.05;398.37;354.33;444.09;340
0to14;2020-26;311.9;398.23;354.19;443.96;358
0to14;2020-27;311.77;398.11;354.06;443.85;325
0to14;2020-28;311.64;398;353.94;443.75;324
0to14;2020-29;311.52;397.9;353.83;443.65;335
0to14;2020-30;311.41;397.8;353.73;443.57;391
0to14;2020-31;311.31;397.72;353.64;443.5;348
0to14;2020-32;311.22;397.65;353.55;443.43;320
0to14;2020-33;311.14;397.58;353.48;443.38;347
0to14;2020-34;311.06;397.52;353.41;443.33;318
0to14;2020-35;311;397.47;353.35;443.29;327
0to14;2020-36;310.93;397.43;353.3;443.25;324
0to14;2020-37;310.88;397.39;353.25;443.23;346
0to14;2020-38;310.83;397.35;353.21;443.2;359
0to14;2020-39;310.78;397.33;353.17;443.19;351
0to14;2020-40;310.73;397.3;353.13;443.17;314
0to14;2020-41;310.68;397.28;353.1;443.17;346
0to14;2020-42;310.64;397.26;353.06;443.16;288
0to14;2020-43;310.59;397.24;353.03;443.16;338
0to14;2020-44;310.54;397.22;352.99;443.16;306
0to14;2020-45;310.48;397.2;352.95;443.16;352
0to14;2020-46;310.42;397.17;352.9;443.15;336
0to14;2020-47;310.35;397.14;352.85;443.14;318
0to14;2020-48;310.27;397.11;352.8;443.13;314
0to14;2020-49;310.18;397.06;352.73;443.11;346
0to14;2020-50;310.09;397.01;352.65;443.08;323
0to14;2020-51;309.98;396.94;352.57;443.04;341
0to14;2020-52;309.87;396.87;352.47;442.98;315
0to14;2020-53;309.74;396.78;352.36;442.91;333
0to14;2021-01;309.61;396.67;352.24;442.83;307
0to14;2021-02;309.47;396.56;352.11;442.73;319
0to14;2021-03;309.32;396.42;351.97;442.61;311
0to14;2021-04;309.16;396.28;351.82;442.47;351
0to14;2021-05;308.99;396.12;351.65;442.31;325
0to14;2021-06;308.81;395.95;351.48;442.15;347
0to14;2021-07;308.63;395.76;351.3;441.96;326
0to14;2021-08;308.45;395.57;351.11;441.77;307
0to14;2021-09;308.26;395.38;350.91;441.57;381
0to14;2021-10;308.06;395.17;350.72;441.36;293
0to14;2021-11;307.87;394.97;350.51;441.15;338
0to14;2021-12;307.67;394.76;350.31;440.94;335
0to14;2021-13;307.47;394.55;350.11;440.73;355
0to14;2021-14;307.27;394.35;349.91;440.53;306
0to14;2021-15;307.08;394.15;349.71;440.33;330
0to14;2021-16;306.88;393.96;349.51;440.14;323
0to14;2021-17;306.69;393.77;349.32;439.95;351
0to14;2021-18;306.5;393.59;349.14;439.78;337
0to14;2021-19;306.32;393.42;348.96;439.61;360
0to14;2021-20;306.14;393.25;348.79;439.46;340
0to14;2021-21;305.97;393.1;348.63;439.31;332
0to14;2021-22;305.81;392.95;348.47;439.18;371
0to14;2021-23;305.65;392.82;348.33;439.06;350
0to14;2021-24;305.51;392.69;348.19;438.95;358
0to14;2021-25;305.37;392.58;348.06;438.84;359
0to14;2021-26;305.24;392.47;347.94;438.75;368
0to14;2021-27;305.11;392.37;347.83;438.67;364
0to14;2021-28;305;392.29;347.73;438.6;363
0to14;2021-29;304.89;392.21;347.64;438.54;368
0to14;2021-30;304.8;392.14;347.55;438.48;373
0to14;2021-31;304.71;392.08;347.48;438.44;359
0to14;2021-32;304.62;392.02;347.41;438.4;363
0to14;2021-33;304.55;391.98;347.34;438.37;340
0to14;2021-34;304.48;391.94;347.29;438.35;342
0to14;2021-35;304.42;391.91;347.24;438.34;341
0to14;2021-36;304.36;391.88;347.2;438.33;355
0to14;2021-37;304.3;391.86;347.16;438.32;362
0to14;2021-38;304.25;391.84;347.12;438.32;376
0to14;2021-39;304.21;391.83;347.09;438.33;391
0to14;2021-40;304.16;391.81;347.06;438.34;362
0to14;2021-41;304.11;391.81;347.03;438.35;352
0to14;2021-42;304.06;391.8;347;438.37;390
0to14;2021-43;304.01;391.79;346.97;438.38;371
0to14;2021-44;303.96;391.78;346.94;438.4;368
0to14;2021-45;303.9;391.77;346.9;438.41;382
0to14;2021-46;303.83;391.75;346.86;438.42;393
0to14;2021-47;303.76;391.73;346.81;438.43;373
0to14;2021-48;303.68;391.7;346.76;438.43;421
0to14;2021-49;303.59;391.66;346.69;438.42;324
0to14;2021-50;303.49;391.61;346.62;438.4;413
0to14;2021-51;303.39;391.55;346.53;438.37;365
0to14;2021-52;303.27;391.48;346.44;438.32;396
0to14;2022-01;303.15;391.4;346.34;438.27;351
0to14;2022-02;303.02;391.31;346.22;438.19;348
0to14;2022-03;302.87;391.2;346.1;438.1;337
0to14;2022-04;302.73;391.08;345.96;438;338
0to14;2022-05;302.57;390.94;345.81;437.88;379
0to14;2022-06;302.4;390.8;345.66;437.75;360
0to14;2022-07;302.24;390.64;345.5;437.6;355.75
0to14;2022-08;302.08;390.46;345.33;437.4;334
0to14;2022-09;301.89;390.31;345.15;437.27;352.36
0to14;2022-10;301.71;390.13;344.97;437.1;381.38
0to14;2022-11;301.56;389.91;344.79;436.85;339.96
0to14;2022-12;301.34;389.77;344.61;436.75;329.32
0to14;2022-13;301.15;389.59;344.42;436.58;367.73
0to14;2022-14;300.96;389.42;344.24;436.41;330.31
0to14;2022-15;300.78;389.24;344.06;436.24;385.2
0to14;2022-16;300.59;389.07;343.88;436.08;336.37
0to14;2022-17;300.41;388.91;343.71;435.93;323.62
0to14;2022-18;300.24;388.75;343.54;435.78;338.15
0to14;2022-19;300.07;388.6;343.38;435.65;399.6
0to14;2022-20;299.9;388.46;343.23;435.52;363.61
0to14;2022-21;299.74;388.33;343.08;435.41;345
0to14;2022-22;299.58;388.2;342.94;435.3;361.32
0to14;2022-23;299.44;388.09;342.8;435.2;320.08
0to14;2022-24;299.29;387.98;342.68;435.11;423.04
0to14;2022-25;299.16;387.88;342.56;435.04;381.89
0to14;2022-26;299.04;387.79;342.45;434.97;359.9
0to14;2022-27;298.92;387.71;342.35;434.91;399.76
0to14;2022-28;298.81;387.64;342.26;434.86;344.37
0to14;2022-29;298.71;387.58;342.18;434.82;384.22
0to14;2022-30;298.61;387.52;342.1;434.79;364.68
0to14;2022-31;298.52;387.47;342.03;434.77;341.52
0to14;2022-32;298.44;387.43;341.97;434.75;367.35
0to14;2022-33;298.37;387.4;341.92;434.74;334.23
0to14;2022-34;298.3;387.38;341.87;434.74;338.23
0to14;2022-35;298.24;387.36;341.83;434.74;344.65
0to14;2022-36;298.18;387.34;341.79;434.75;369.77
0to14;2022-37;298.12;387.33;341.76;434.77;388.27
0to14;2022-38;298.07;387.33;341.73;434.79;322.39
0to14;2022-39;298.03;387.33;341.7;434.82;391.6
0to14;2022-40;297.98;387.33;341.68;434.85;358.12
0to14;2022-41;297.93;387.33;341.66;434.88;351.24
0to14;2022-42;297.89;387.34;341.63;434.91;326.97
0to14;2022-43;297.84;387.34;341.61;434.95;364.96
0to14;2022-44;297.78;387.34;341.58;434.98;359
0to14;2022-45;297.73;387.35;341.56;435.02;402.28
0to14;2022-46;297.67;387.34;341.52;435.05;386.06
0to14;2022-47;297.6;387.34;341.48;435.07;350.85
0to14;2022-48;297.52;387.32;341.44;435.1;356.72
0to14;2022-49;297.44;387.3;341.38;435.11;460.79
0to14;2022-50;297.35;387.27;341.32;435.12;420.69
0to14;2022-51;297.25;387.23;341.25;435.11;411.47
0to14;2022-52;297.15;387.18;341.17;435.09;438.38
0to14;2023-01;297.03;387.12;341.09;435.06;364.23
0to14;2023-02;296.91;387.05;340.99;435.02;350.72
0to14;2023-03;296.78;386.97;340.88;434.96;326.66
0to14;2023-04;296.64;386.87;340.76;434.89;367.85
0to14;2023-05;296.5;386.76;340.63;434.8;354.27
0to14;2023-06;296.39;386.59;340.5;434.6;388.06
0to14;2023-07;296.19;386.51;340.35;434.59;345.39
15to44;2017-09;1473.12;1663.69;1567.44;1761.84;1519
15to44;2017-10;1473.61;1662.41;1567.07;1759.62;1509
15to44;2017-11;1474.02;1660.89;1566.53;1757.08;1533
15to44;2017-12;1474.32;1659.18;1565.84;1754.3;1559
15to44;2017-13;1474.5;1657.34;1565.03;1751.39;1547
15to44;2017-14;1474.54;1655.42;1564.11;1748.44;1491
15to44;2017-15;1474.4;1653.48;1563.09;1745.56;1534
15to44;2017-16;1474.1;1651.58;1562;1742.81;1458
15to44;2017-17;1473.6;1649.74;1560.85;1740.27;1569
15to44;2017-18;1472.92;1648.01;1559.65;1737.99;1583
15to44;2017-19;1472.06;1646.4;1558.42;1735.98;1611
15to44;2017-20;1471.03;1644.93;1557.17;1734.28;1535
15to44;2017-21;1469.84;1643.58;1555.9;1732.85;1620
15to44;2017-22;1468.53;1642.34;1554.63;1731.65;1540
15to44;2017-23;1467.13;1641.2;1553.35;1730.65;1526
15to44;2017-24;1465.65;1640.13;1552.07;1729.79;1601
15to44;2017-25;1464.14;1639.09;1550.79;1729.01;1614
15to44;2017-26;1462.63;1638.07;1549.52;1728.24;1540
15to44;2017-27;1461.14;1637.03;1548.25;1727.43;1588
15to44;2017-28;1459.72;1635.95;1547;1726.55;1539
15to44;2017-29;1458.38;1634.83;1545.76;1725.54;1523
15to44;2017-30;1457.14;1633.65;1544.56;1724.39;1593
15to44;2017-31;1456.03;1632.43;1543.39;1723.11;1613
15to44;2017-32;1455.05;1631.17;1542.27;1721.72;1596
15to44;2017-33;1454.21;1629.91;1541.22;1720.24;1532
15to44;2017-34;1453.5;1628.68;1540.26;1718.72;1566
15to44;2017-35;1452.94;1627.51;1539.4;1717.25;1523
15to44;2017-36;1452.51;1626.46;1538.67;1715.86;1529
15to44;2017-37;1452.2;1625.57;1538.07;1714.67;1441
15to44;2017-38;1452;1624.89;1537.64;1713.73;1614
15to44;2017-39;1451.9;1624.46;1537.37;1713.14;1567
15to44;2017-40;1451.87;1624.33;1537.29;1712.94;1531
15to44;2017-41;1451.91;1624.51;1537.4;1713.2;1505
15to44;2017-42;1452;1625.03;1537.71;1713.95;1533
15to44;2017-43;1452.12;1625.9;1538.19;1715.21;1533
15to44;2017-44;1452.28;1627.09;1538.86;1716.95;1580
15to44;2017-45;1452.47;1628.6;1539.69;1719.15;1502
15to44;2017-46;1452.68;1630.36;1540.66;1721.73;1540
15to44;2017-47;1452.91;1632.34;1541.76;1724.64;1551
15to44;2017-48;1453.17;1634.48;1542.94;1727.77;1562
15to44;2017-49;1453.46;1636.7;1544.18;1731.01;1619
15to44;2017-50;1453.79;1638.94;1545.44;1734.25;1625
15to44;2017-51;1454.16;1641.12;1546.7;1737.39;1586
15to44;2017-52;1454.57;1643.16;1547.91;1740.3;1671
15to44;2018-01;1455.01;1645.01;1549.04;1742.88;1737
15to44;2018-02;1455.5;1646.59;1550.07;1745.05;1663
15to44;2018-03;1456.03;1647.88;1550.96;1746.73;1591
15to44;2018-04;1456.58;1648.81;1551.71;1747.86;1624
15to44;2018-05;1457.15;1649.39;1552.28;1748.44;1553
15to44;2018-06;1457.75;1649.57;1552.67;1748.4;1683
15to44;2018-07;1458.33;1649.38;1552.87;1747.81;1669
15to44;2018-08;1458.89;1648.83;1552.89;1746.66;1541
15to44;2018-09;1459.41;1647.94;1552.72;1745.03;1720
15to44;2018-10;1459.87;1646.76;1552.37;1742.98;1679
15to44;2018-11;1460.25;1645.32;1551.87;1740.59;1627
15to44;2018-12;1460.52;1643.69;1551.21;1737.95;1574
15to44;2018-13;1460.68;1641.92;1550.42;1735.16;1578
15to44;2018-14;1460.69;1640.07;1549.51;1732.32;1592
15to44;2018-15;1460.53;1638.18;1548.51;1729.52;1571
15to44;2018-16;1460.2;1636.32;1547.43;1726.85;1593
15to44;2018-17;1459.7;1634.51;1546.28;1724.36;1501
15to44;2018-18;1459;1632.81;1545.09;1722.13;1612
15to44;2018-19;1458.13;1631.22;1543.86;1720.16;1610
15to44;2018-20;1457.09;1629.75;1542.61;1718.47;1553
15to44;2018-21;1455.9;1628.41;1541.35;1717.06;1560
15to44;2018-22;1454.57;1627.19;1540.08;1715.89;1525
15to44;2018-23;1453.16;1626.06;1538.8;1714.91;1587
15to44;2018-24;1451.67;1625;1537.52;1714.08;1492
15to44;2018-25;1450.15;1623.99;1536.25;1713.33;1492
15to44;2018-26;1448.63;1622.99;1534.99;1712.61;1588
15to44;2018-27;1447.14;1621.98;1533.73;1711.85;1581
15to44;2018-28;1445.71;1620.94;1532.49;1711.02;1658
15to44;2018-29;1444.36;1619.85;1531.27;1710.08;1578
15to44;2018-30;1443.12;1618.72;1530.08;1709.01;1625
15to44;2018-31;1442;1617.55;1528.94;1707.81;1707
15to44;2018-32;1441.02;1616.34;1527.84;1706.49;1607
15to44;2018-33;1440.18;1615.13;1526.82;1705.08;1561
15to44;2018-34;1439.48;1613.94;1525.88;1703.63;1554
15to44;2018-35;1438.93;1612.81;1525.04;1702.2;1528
15to44;2018-36;1438.51;1611.79;1524.33;1700.87;1545
15to44;2018-37;1438.22;1610.92;1523.76;1699.69;1529
15to44;2018-38;1438.04;1610.26;1523.34;1698.77;1512
15to44;2018-39;1437.97;1609.83;1523.09;1698.16;1511
15to44;2018-40;1437.98;1609.69;1523.03;1697.94;1510
15to44;2018-41;1438.05;1609.86;1523.15;1698.15;1690
15to44;2018-42;1438.18;1610.36;1523.46;1698.85;1487
15to44;2018-43;1438.36;1611.19;1523.96;1700.03;1508
15to44;2018-44;1438.56;1612.36;1524.63;1701.7;1532
15to44;2018-45;1438.79;1613.83;1525.47;1703.82;1536
15to44;2018-46;1439.04;1615.57;1526.45;1706.35;1495
15to44;2018-47;1439.32;1617.53;1527.56;1709.19;1508
15to44;2018-48;1439.62;1619.65;1528.75;1712.28;1514
15to44;2018-49;1439.95;1621.87;1530.01;1715.5;1566
15to44;2018-50;1440.3;1624.11;1531.29;1718.74;1575
15to44;2018-51;1440.69;1626.31;1532.56;1721.9;1598
15to44;2018-52;1441.12;1628.39;1533.8;1724.85;1546
15to44;2019-01;1441.57;1630.29;1534.96;1727.51;1684
15to44;2019-02;1442.07;1631.94;1536.02;1729.77;1682
15to44;2019-03;1442.59;1633.29;1536.96;1731.56;1632
15to44;2019-04;1443.14;1634.31;1537.74;1732.83;1571
15to44;2019-05;1443.7;1634.97;1538.35;1733.54;1604
15to44;2019-06;1444.27;1635.26;1538.78;1733.68;1641
15to44;2019-07;1444.83;1635.17;1539.02;1733.25;1621
15to44;2019-08;1445.36;1634.73;1539.07;1732.28;1578
15to44;2019-09;1445.85;1633.94;1538.94;1730.82;1500
15to44;2019-10;1446.29;1632.85;1538.63;1728.93;1603
15to44;2019-11;1446.63;1631.52;1538.15;1726.7;1499
15to44;2019-12;1446.88;1629.97;1537.52;1724.21;1504
15to44;2019-13;1447;1628.28;1536.75;1721.55;1499
15to44;2019-14;1446.98;1626.49;1535.86;1718.83;1520
15to44;2019-15;1446.81;1624.66;1534.87;1716.13;1558
15to44;2019-16;1446.46;1622.84;1533.8;1713.54;1525
15to44;2019-17;1445.93;1621.07;1532.67;1711.12;1448
15to44;2019-18;1445.22;1619.39;1531.48;1708.92;1500
15to44;2019-19;1444.33;1617.82;1530.26;1707;1488
15to44;2019-20;1443.28;1616.37;1529.01;1705.33;1513
15to44;2019-21;1442.08;1615.04;1527.75;1703.93;1507
15to44;2019-22;1440.76;1613.82;1526.47;1702.77;1489
15to44;2019-23;1439.34;1612.7;1525.2;1701.81;1555
15to44;2019-24;1437.85;1611.65;1523.92;1701;1464
15to44;2019-25;1436.33;1610.65;1522.66;1700.27;1560
15to44;2019-26;1434.8;1609.67;1521.4;1699.58;1638
15to44;2019-27;1433.3;1608.68;1520.15;1698.87;1612
15to44;2019-28;1431.87;1607.68;1518.92;1698.09;1485
15to44;2019-29;1430.51;1606.63;1517.72;1697.21;1504
15to44;2019-30;1429.26;1605.54;1516.55;1696.2;1614
15to44;2019-31;1428.14;1604.4;1515.42;1695.07;1501
15to44;2019-32;1427.15;1603.24;1514.34;1693.82;1553
15to44;2019-33;1426.31;1602.07;1513.34;1692.48;1517
15to44;2019-34;1425.61;1600.93;1512.42;1691.09;1493
15to44;2019-35;1425.06;1599.84;1511.61;1689.72;1550
15to44;2019-36;1424.65;1598.85;1510.91;1688.42;1493
15to44;2019-37;1424.38;1598;1510.36;1687.28;1534
15to44;2019-38;1424.22;1597.35;1509.96;1686.36;1505
15to44;2019-39;1424.17;1596.93;1509.72;1685.75;1467
15to44;2019-40;1424.21;1596.78;1509.67;1685.5;1497
15to44;2019-41;1424.32;1596.93;1509.8;1685.68;1567
15to44;2019-42;1424.49;1597.41;1510.12;1686.31;1477
15to44;2019-43;1424.71;1598.21;1510.63;1687.43;1583
15to44;2019-44;1424.96;1599.34;1511.31;1689.02;1502
15to44;2019-45;1425.23;1600.78;1512.16;1691.07;1512
15to44;2019-46;1425.54;1602.48;1513.15;1693.51;1510
15to44;2019-47;1425.86;1604.42;1514.26;1696.3;1525
15to44;2019-48;1426.19;1606.52;1515.47;1699.34;1488
15to44;2019-49;1426.56;1608.73;1516.74;1702.52;1534
15to44;2019-50;1426.95;1610.98;1518.04;1705.74;1537
15to44;2019-51;1427.37;1613.19;1519.33;1708.91;1527
15to44;2019-52;1427.82;1615.3;1520.59;1711.9;1524
15to44;2020-01;1428.29;1617.24;1521.79;1714.62;1713
15to44;2020-02;1428.79;1618.95;1522.88;1716.95;1620
15to44;2020-03;1429.31;1620.37;1523.84;1718.85;1566
15to44;2020-04;1429.86;1621.47;1524.66;1720.25;1510
15to44;2020-05;1430.41;1622.22;1525.31;1721.11;1672
15to44;2020-06;1430.96;1622.61;1525.78;1721.4;1506
15to44;2020-07;1431.5;1622.62;1526.06;1721.14;1630
15to44;2020-08;1432.01;1622.28;1526.15;1720.34;1547
15to44;2020-09;1432.47;1621.6;1526.06;1719.05;1595
15to44;2020-10;1432.87;1620.62;1525.78;1717.34;1612
15to44;2020-11;1433.19;1619.37;1525.33;1715.27;1609
15to44;2020-12;1433.4;1617.92;1524.73;1712.93;1572
15to44;2020-13;1433.49;1616.3;1523.98;1710.41;1691
15to44;2020-14;1433.44;1614.58;1523.12;1707.81;1685
15to44;2020-15;1433.24;1612.81;1522.14;1705.22;1741
15to44;2020-16;1432.87;1611.04;1521.09;1702.71;1619
15to44;2020-17;1432.32;1609.31;1519.96;1700.36;1569
15to44;2020-18;1431.6;1607.66;1518.78;1698.21;1482
15to44;2020-19;1430.7;1606.11;1517.56;1696.32;1475
15to44;2020-20;1429.64;1604.67;1516.31;1694.68;1613
15to44;2020-21;1428.43;1603.35;1515.05;1693.29;1502
15to44;2020-22;1427.11;1602.13;1513.78;1692.14;1588
15to44;2020-23;1425.68;1601.01;1512.5;1691.19;1500
15to44;2020-24;1424.19;1599.97;1511.23;1690.39;1563
15to44;2020-25;1422.67;1598.98;1509.97;1689.68;1556
15to44;2020-26;1421.14;1598.01;1508.71;1689.01;1550
15to44;2020-27;1419.64;1597.05;1507.47;1688.32;1540
15to44;2020-28;1418.2;1596.06;1506.26;1687.58;1498
15to44;2020-29;1416.84;1595.04;1505.06;1686.75;1538
15to44;2020-30;1415.59;1593.99;1503.91;1685.8;1521
15to44;2020-31;1414.46;1592.9;1502.79;1684.73;1633
15to44;2020-32;1413.47;1591.78;1501.74;1683.54;1635
15to44;2020-33;1412.62;1590.65;1500.75;1682.26;1696
15to44;2020-34;1411.92;1589.54;1499.85;1680.95;1579
15to44;2020-35;1411.37;1588.49;1499.06;1679.63;1529
15to44;2020-36;1410.97;1587.52;1498.38;1678.37;1570
15to44;2020-37;1410.7;1586.7;1497.84;1677.26;1608
15to44;2020-38;1410.56;1586.06;1497.45;1676.35;1591
15to44;2020-39;1410.52;1585.65;1497.23;1675.73;1529
15to44;2020-40;1410.59;1585.49;1497.19;1675.46;1524
15to44;2020-41;1410.73;1585.63;1497.33;1675.6;1602
15to44;2020-42;1410.94;1586.08;1497.66;1676.18;1474
15to44;2020-43;1411.19;1586.86;1498.17;1677.23;1656
15to44;2020-44;1411.49;1587.95;1498.86;1678.75;1567
15to44;2020-45;1411.82;1589.35;1499.71;1680.71;1528
15to44;2020-46;1412.16;1591.02;1500.7;1683.08;1518
15to44;2020-47;1412.53;1592.92;1501.83;1685.79;1590
15to44;2020-48;1412.92;1595;1503.04;1688.76;1537
15to44;2020-49;1413.33;1597.2;1504.33;1691.9;1727
15to44;2020-50;1413.75;1599.44;1505.64;1695.11;1681
15to44;2020-51;1414.2;1601.66;1506.96;1698.27;1602
15to44;2020-52;1414.68;1603.8;1508.25;1701.28;1574
15to44;2020-53;1415.17;1605.77;1509.47;1704.04;1708
15to44;2021-01;1415.68;1607.53;1510.59;1706.46;1631
15to44;2021-02;1416.21;1609.02;1511.59;1708.46;1643
15to44;2021-03;1416.75;1610.2;1512.44;1709.97;1694
15to44;2021-04;1417.3;1611.04;1513.13;1710.96;1685
15to44;2021-05;1417.84;1611.51;1513.64;1711.41;1668
15to44;2021-06;1418.35;1611.63;1513.96;1711.31;1528
15to44;2021-07;1418.84;1611.39;1514.09;1710.69;1543
15to44;2021-08;1419.27;1610.81;1514.03;1709.57;1517
15to44;2021-09;1419.64;1609.93;1513.79;1708.03;1542
15to44;2021-10;1419.93;1608.79;1513.37;1706.13;1552
15to44;2021-11;1420.11;1607.42;1512.8;1703.94;1566
15to44;2021-12;1420.17;1605.89;1512.08;1701.57;1556
15to44;2021-13;1420.11;1604.22;1511.23;1699.04;1651
15to44;2021-14;1419.86;1602.54;1510.28;1696.61;1621
15to44;2021-15;1419.46;1600.82;1509.23;1694.19;1620
15to44;2021-16;1418.89;1599.13;1508.12;1691.91;1612
15to44;2021-17;1418.15;1597.51;1506.94;1689.82;1555
15to44;2021-18;1417.25;1595.97;1505.73;1687.96;1641
15to44;2021-19;1416.18;1594.55;1504.48;1686.34;1496
15to44;2021-20;1414.97;1593.23;1503.22;1684.97;1512
15to44;2021-21;1413.64;1592.02;1501.95;1683.82;1531
15to44;2021-22;1412.22;1590.9;1500.67;1682.87;1567
15to44;2021-23;1410.73;1589.86;1499.4;1682.06;1526
15to44;2021-24;1409.21;1588.87;1498.14;1681.36;1662
15to44;2021-25;1407.68;1587.91;1496.89;1680.7;1590
15to44;2021-26;1406.18;1586.96;1495.66;1680.04;1562
15to44;2021-27;1404.74;1585.99;1494.45;1679.33;1621
15to44;2021-28;1403.38;1585;1493.27;1678.54;1677
15to44;2021-29;1402.12;1583.98;1492.13;1677.64;1711
15to44;2021-30;1400.99;1582.92;1491.03;1676.62;1638
15to44;2021-31;1399.99;1581.83;1489.99;1675.49;1580
15to44;2021-32;1399.13;1580.74;1489.02;1674.28;1661
15to44;2021-33;1398.43;1579.67;1488.13;1673.01;1610
15to44;2021-34;1397.88;1578.65;1487.35;1671.75;1576
15to44;2021-35;1397.48;1577.72;1486.69;1670.54;1600
15to44;2021-36;1397.21;1576.92;1486.16;1669.46;1714
15to44;2021-37;1397.08;1576.29;1485.79;1668.57;1656
15to44;2021-38;1397.06;1575.88;1485.58;1667.95;1638
15to44;2021-39;1397.15;1575.72;1485.54;1667.66;1597
15to44;2021-40;1397.32;1575.85;1485.69;1667.76;1586
15to44;2021-41;1397.56;1576.28;1486.02;1668.29;1553
15to44;2021-42;1397.85;1577.02;1486.54;1669.27;1647
15to44;2021-43;1398.19;1578.08;1487.23;1670.71;1549
15to44;2021-44;1398.56;1579.44;1488.09;1672.6;1535
15to44;2021-45;1398.96;1581.08;1489.09;1674.89;1695
15to44;2021-46;1399.38;1582.94;1490.22;1677.52;1667
15to44;2021-47;1399.81;1585;1491.44;1680.42;1764
15to44;2021-48;1400.26;1587.17;1492.74;1683.51;1788
15to44;2021-49;1400.73;1589.41;1494.07;1686.68;1724
15to44;2021-50;1401.21;1591.63;1495.41;1689.83;1688
15to44;2021-51;1401.72;1593.78;1496.72;1692.86;1696
15to44;2021-52;1402.23;1595.79;1497.97;1695.65;1774
15to44;2022-01;1402.76;1597.6;1499.12;1698.13;1725
15to44;2022-02;1403.3;1599.14;1500.16;1700.22;1628
15to44;2022-03;1403.84;1600.4;1501.05;1701.84;1600
15to44;2022-04;1404.39;1601.31;1501.77;1702.96;1597
15to44;2022-05;1404.91;1601.89;1502.32;1703.56;1607
15to44;2022-06;1405.41;1602.1;1502.68;1703.62;1559
15to44;2022-07;1405.87;1601.96;1502.85;1703.16;1622.78
15to44;2022-08;1406.28;1601.49;1502.83;1702.22;1588.53
15to44;2022-09;1406.62;1600.71;1502.62;1700.85;1577.17
15to44;2022-10;1406.88;1599.67;1502.24;1699.11;1582.39
15to44;2022-11;1407.02;1598.39;1501.69;1697.09;1628
15to44;2022-12;1407.05;1596.95;1501;1694.86;1575.58
15to44;2022-13;1406.94;1595.38;1500.17;1692.51;1533.83
15to44;2022-14;1406.68;1593.73;1499.24;1690.14;1581.18
15to44;2022-15;1406.27;1592.07;1498.21;1687.81;1526.27
15to44;2022-16;1405.68;1590.42;1497.1;1685.61;1501.1
15to44;2022-17;1404.92;1588.82;1495.93;1683.56;1574.62
15to44;2022-18;1404.01;1587.31;1494.72;1681.74;1614.77
15to44;2022-19;1402.93;1585.89;1493.48;1680.14;1571.39
15to44;2022-20;1401.72;1584.58;1492.22;1678.77;1594.54
15to44;2022-21;1400.4;1583.37;1490.95;1677.63;1545.47
15to44;2022-22;1398.98;1582.25;1489.68;1676.67;1490.56
15to44;2022-23;1397.49;1581.21;1488.41;1675.86;1640.46
15to44;2022-24;1395.98;1580.22;1487.15;1675.16;1631.15
15to44;2022-25;1394.45;1579.27;1485.9;1674.51;1594.11
15to44;2022-26;1392.96;1578.32;1484.68;1673.86;1571.49
15to44;2022-27;1391.51;1577.37;1483.47;1673.17;1709.67
15to44;2022-28;1390.15;1576.4;1482.3;1672.41;1646.87
15to44;2022-29;1388.89;1575.4;1481.17;1671.55;1656.75
15to44;2022-30;1387.75;1574.37;1480.08;1670.58;1662.32
15to44;2022-31;1386.75;1573.32;1479.05;1669.51;1630.66
15to44;2022-32;1385.89;1572.26;1478.09;1668.35;1708.61
15to44;2022-33;1385.18;1571.23;1477.22;1667.14;1594.47
15to44;2022-34;1384.62;1570.24;1476.46;1665.92;1571.81
15to44;2022-35;1384.22;1569.33;1475.81;1664.76;1567.22
15to44;2022-36;1383.95;1568.56;1475.29;1663.71;1589.16
15to44;2022-37;1383.83;1567.94;1474.93;1662.84;1482.96
15to44;2022-38;1383.82;1567.54;1474.72;1662.22;1557.68
15to44;2022-39;1383.92;1567.38;1474.7;1661.92;1488.1
15to44;2022-40;1384.11;1567.49;1474.85;1661.99;1552.43
15to44;2022-41;1384.38;1567.89;1475.18;1662.47;1616.16
15to44;2022-42;1384.71;1568.61;1475.7;1663.39;1576.94
15to44;2022-43;1385.09;1569.64;1476.4;1664.76;1523.62
15to44;2022-44;1385.5;1570.96;1477.26;1666.56;1560.19
15to44;2022-45;1385.94;1572.55;1478.27;1668.77;1523.91
15to44;2022-46;1386.41;1574.39;1479.4;1671.32;1552.46
15to44;2022-47;1386.89;1576.41;1480.64;1674.16;1628.49
