GENESIS-Tabelle: 12410-010Z
Fortschreibung zum 30.06. nach Geschlecht auf Gemeinden;;;;;
(Gebietsstand 01.01.2023);;;;;
Fortschreibung des Bev.standes (Basis 9.5.2011) ;;;;;
Bevölkerung am 30.06. (absolut);;;;;
;;;Insgesamt;männlich;weiblich
30.06.2011;14626350;      Neusalza-Spremberg, Stadt;3544;1725;1819
30.06.2011;14626370;      Niesky, Stadt;9952;4816;5136
30.06.2011;14626390;      Oderwitz;5461;2667;2794
30.06.2011;14626400;      Olbersdorf;5419;2592;2827
30.06.2011;14626410;      Oppach;2549;1247;1302
30.06.2011;14626420;      Ostritz, Stadt;2509;1233;1276
30.06.2011;14626430;      Oybin;1514;734;780
30.06.2011;14626440;      Quitzdorf am See;1318;645;673
30.06.2011;14626450;      Reichenbach/O.L., Stadt;5276;2606;2670
30.06.2011;14626460;      Rietschen;2728;1320;1408
30.06.2011;14626470;      Rosenbach;1667;828;839
30.06.2011;14626480;      Rothenburg/O.L., Stadt;5070;2608;2462
30.06.2011;14626490;      Schleife;2669;1338;1331
30.06.2011;14626500;      Schönau-Berzdorf a. d. Eigen;1587;788;799
30.06.2011;14626510;      Schönbach;1187;598;589
30.06.2011;14626520;      Schöpstal;2522;1277;1245
30.06.2011;14626530;      Seifhennersdorf, Stadt;4066;1997;2069
30.06.2011;14626560;      Trebendorf;970;480;490
30.06.2011;14626570;      Vierkirchen;1771;891;880
30.06.2011;14626580;      Waldhufen;2595;1310;1285
30.06.2011;14626590;      Weißkeißel;1327;691;636
30.06.2011;14626600;      Weißwasser/O.L., Stadt;18160;8724;9436
30.06.2011;14626610;      Zittau, Stadt;26715;12834;13881
30.06.2011;14627;    Meißen, Landkreis;246918;121093;125825
30.06.2011;14627010;      Coswig, Stadt;20701;9869;10832
30.06.2011;14627020;      Diera-Zehren;3450;1744;1706
30.06.2011;14627030;      Ebersbach (Landkreis Meißen);4559;2309;2250
30.06.2011;14627040;      Glaubitz;2104;1163;941
30.06.2011;14627050;      Gröditz, Stadt;7896;3876;4020
30.06.2011;14627060;      Großenhain, Stadt;18784;9169;9615
30.06.2011;14627070;      Hirschstein;2211;1130;1081
30.06.2011;14627080;      Käbschütztal;2771;1421;1350
30.06.2011;14627100;      Klipphausen;10251;5214;5037
30.06.2011;14627110;      Lampertswalde;2733;1401;1332
30.06.2011;14627130;      Lommatzsch, Stadt;5396;2588;2808
30.06.2011;14627140;      Meißen, Stadt;27069;12910;14159
30.06.2011;14627150;      Moritzburg;8206;4060;4146
30.06.2011;14627170;      Niederau;3989;2001;1988
30.06.2011;14627180;      Nossen, Stadt;10982;5389;5593
30.06.2011;14627190;      Nünchritz;5921;2919;3002
30.06.2011;14627200;      Priestewitz;3300;1706;1594
30.06.2011;14627210;      Radebeul, Stadt;33192;16084;17108
30.06.2011;14627220;      Radeburg, Stadt;7539;3751;3788
30.06.2011;14627230;      Riesa, Stadt;32470;15714;16756
30.06.2011;14627240;      Röderaue;2929;1479;1450
30.06.2011;14627250;      Schönfeld;1907;938;969
30.06.2011;14627260;      Stauchitz;3252;1638;1614
30.06.2011;14627270;      Strehla, Stadt;3899;1902;1997
30.06.2011;14627290;      Thiendorf;3659;1894;1765
30.06.2011;14627310;      Weinböhla;9978;4897;5081
30.06.2011;14627340;      Wülknitz;1669;850;819
30.06.2011;14627360;      Zeithain;6101;3077;3024
30.06.2011;14628;    Sächsische Schweiz-Osterzgebirge, Landkreis;246795;121359;125436
