SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,36,001,New York,Albany County,2,14,17849,8467,9382,7398,8168,704,808,17,27,276,283,2,1,70,95,7446,8218,730,862,51,80,306,321,9,14,8269,9100,7257,7945,669,769,11,16,274,280,1,1,57,89,7293,7989,689,819,40,67,300,318,7,14,198,282,141,223,35,39,6,11,2,3,1,0,13,6,153,229,41,43,11,13,6,3,2,0
050,36,001,New York,Albany County,2,15,14802,6824,7978,6007,6965,536,671,19,21,204,252,1,1,57,68,6037,7002,561,708,51,62,230,274,4,7,6686,7787,5914,6810,502,649,14,16,204,251,1,1,51,60,5942,6839,523,681,42,55,228,273,4,6,138,191,93,155,34,22,5,5,0,1,0,0,6,8,95,163,38,27,9,7,2,1,0,1
050,36,001,New York,Albany County,2,16,9261,4031,5230,3575,4615,302,422,12,13,114,137,0,1,28,42,3591,4641,316,441,26,36,123,150,5,9,3949,5105,3511,4524,293,399,10,12,113,137,0,0,22,33,3524,4542,303,413,22,31,120,148,4,6,82,125,64,91,9,23,2,1,1,0,0,1,6,9,67,99,13,28,4,5,3,2,1,3
050,36,001,New York,Albany County,2,17,6004,2434,3570,2153,3161,183,283,9,8,74,93,0,0,15,25,2165,3179,187,293,16,23,78,100,3,4,2382,3505,2119,3114,171,275,6,6,74,91,0,0,12,19,2128,3128,173,282,12,17,78,97,3,3,52,65,34,47,12,8,3,2,0,2,0,0,3,6,37,51,14,11,4,6,0,3,0,1
050,36,001,New York,Albany County,2,18,7047,2250,4797,2031,4389,118,283,8,14,52,91,1,0,40,20,2058,4403,133,291,30,27,73,96,11,1,2215,4708,2003,4311,116,277,7,10,52,90,1,0,36,20,2027,4325,129,285,27,23,73,95,10,1,35,89,28,78,2,6,1,4,0,1,0,0,4,0,31,78,4,6,3,4,0,1,1,0
050,36,001,New York,Albany County,3,0,313743,152519,161224,115340,120920,21171,23475,518,532,10615,11277,130,126,4745,4894,119539,125159,23716,26314,1152,1250,12737,13332,379,373,142371,150639,108512,113981,19025,21076,229,259,10495,11155,74,77,4036,4091,112064,117497,21020,23260,709,822,12550,13136,283,289,10148,10585,6828,6939,2146,2399,289,273,120,122,56,49,709,803,7475,7662,2696,3054,443,428,187,196,96,84
050,36,001,New York,Albany County,3,1,14669,7464,7205,4748,4508,1437,1421,35,28,668,676,15,10,561,562,5283,5045,1760,1741,65,58,904,915,27,23,6614,6382,4289,4078,1191,1178,11,11,651,657,8,5,464,453,4736,4516,1436,1406,25,24,876,886,16,14,850,823,459,430,246,243,24,17,17,19,7,5,97,109,547,529,324,335,40,34,28,29,11,9
050,36,001,New York,Albany County,3,2,16150,8325,7825,5286,4895,1526,1535,41,29,848,726,14,16,610,624,5866,5488,1867,1907,81,62,1118,986,30,29,7484,6981,4779,4429,1321,1314,11,10,831,701,7,12,535,515,5294,4923,1602,1593,36,26,1092,949,21,21,841,844,507,466,205,221,30,19,17,25,7,4,75,109,572,565,265,314,45,36,26,37,9,8
050,36,001,New York,Albany County,3,3,16091,8290,7801,5313,4983,1638,1545,44,23,665,654,11,7,619,589,5887,5535,2010,1909,84,67,923,889,26,22,7443,6996,4809,4509,1435,1341,14,10,658,647,6,4,521,485,5294,4965,1723,1620,38,36,908,870,18,16,847,805,504,474,203,204,30,13,7,7,5,3,98,104,593,570,287,289,46,31,15,19,8,6
050,36,001,New York,Albany County,3,4,22390,10892,11498,7630,7902,1858,2063,39,25,800,908,13,10,552,590,8136,8439,2187,2429,97,80,1036,1142,30,29,9875,10468,6954,7263,1635,1793,22,9,784,897,10,7,470,499,7387,7718,1892,2082,63,44,1014,1121,24,24,1017,1030,676,639,223,270,17,16,16,11,3,3,82,91,749,721,295,347,34,36,22,21,6,5
