"Notes","Month","Month Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"Feb., 2013","2013/02","20-24 years","20-24",1373,Not Applicable,Not Applicable
,"Feb., 2013","2013/02","25-29 years","25-29",1538,Not Applicable,Not Applicable
,"Feb., 2013","2013/02","30-34 years","30-34",1863,Not Applicable,Not Applicable
,"Feb., 2013","2013/02","35-39 years","35-39",2138,Not Applicable,Not Applicable
,"Feb., 2013","2013/02","40-44 years","40-44",3338,Not Applicable,Not Applicable
,"Feb., 2013","2013/02","45-49 years","45-49",5349,Not Applicable,Not Applicable
,"Feb., 2013","2013/02","50-54 years","50-54",8922,Not Applicable,Not Applicable
,"Feb., 2013","2013/02","55-59 years","55-59",12286,Not Applicable,Not Applicable
,"Feb., 2013","2013/02","60-64 years ","60-64",14934,Not Applicable,Not Applicable
,"Feb., 2013","2013/02","65-69 years","65-69",17357,Not Applicable,Not Applicable
,"Feb., 2013","2013/02","70-74 years","70-74",19650,Not Applicable,Not Applicable
,"Feb., 2013","2013/02","75-79 years","75-79",23101,Not Applicable,Not Applicable
,"Feb., 2013","2013/02","80-84 years","80-84",29915,Not Applicable,Not Applicable
,"Feb., 2013","2013/02","85-89 years","85-89",34060,Not Applicable,Not Applicable
,"Feb., 2013","2013/02","90-94 years","90-94",25865,Not Applicable,Not Applicable
,"Feb., 2013","2013/02","95-99 years","95-99",10371,Not Applicable,Not Applicable
,"Feb., 2013","2013/02","100+ years","100+",2312,Not Applicable,Not Applicable
,"Feb., 2013","2013/02","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Mar., 2013","2013/03","< 1 year","1",1992,Not Applicable,Not Applicable
,"Mar., 2013","2013/03","1-4 years","1-4",363,Not Applicable,Not Applicable
,"Mar., 2013","2013/03","5-9 years","5-9",220,Not Applicable,Not Applicable
,"Mar., 2013","2013/03","10-14 years","10-14",268,Not Applicable,Not Applicable
,"Mar., 2013","2013/03","15-19 years","15-19",853,Not Applicable,Not Applicable
,"Mar., 2013","2013/03","20-24 years","20-24",1671,Not Applicable,Not Applicable
,"Mar., 2013","2013/03","25-29 years","25-29",1780,Not Applicable,Not Applicable
,"Mar., 2013","2013/03","30-34 years","30-34",2163,Not Applicable,Not Applicable
,"Mar., 2013","2013/03","35-39 years","35-39",2332,Not Applicable,Not Applicable
,"Mar., 2013","2013/03","40-44 years","40-44",3561,Not Applicable,Not Applicable
,"Mar., 2013","2013/03","45-49 years","45-49",5988,Not Applicable,Not Applicable
,"Mar., 2013","2013/03","50-54 years","50-54",9687,Not Applicable,Not Applicable
,"Mar., 2013","2013/03","55-59 years","55-59",13295,Not Applicable,Not Applicable
,"Mar., 2013","2013/03","60-64 years ","60-64",16216,Not Applicable,Not Applicable
,"Mar., 2013","2013/03","65-69 years","65-69",18800,Not Applicable,Not Applicable
,"Mar., 2013","2013/03","70-74 years","70-74",21176,Not Applicable,Not Applicable
,"Mar., 2013","2013/03","75-79 years","75-79",24688,Not Applicable,Not Applicable
,"Mar., 2013","2013/03","80-84 years","80-84",31883,Not Applicable,Not Applicable
,"Mar., 2013","2013/03","85-89 years","85-89",35887,Not Applicable,Not Applicable
,"Mar., 2013","2013/03","90-94 years","90-94",26820,Not Applicable,Not Applicable
,"Mar., 2013","2013/03","95-99 years","95-99",10911,Not Applicable,Not Applicable
,"Mar., 2013","2013/03","100+ years","100+",2310,Not Applicable,Not Applicable
,"Mar., 2013","2013/03","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Apr., 2013","2013/04","< 1 year","1",1910,Not Applicable,Not Applicable
,"Apr., 2013","2013/04","1-4 years","1-4",326,Not Applicable,Not Applicable
,"Apr., 2013","2013/04","5-9 years","5-9",192,Not Applicable,Not Applicable
,"Apr., 2013","2013/04","10-14 years","10-14",250,Not Applicable,Not Applicable
,"Apr., 2013","2013/04","15-19 years","15-19",763,Not Applicable,Not Applicable
,"Apr., 2013","2013/04","20-24 years","20-24",1481,Not Applicable,Not Applicable
,"Apr., 2013","2013/04","25-29 years","25-29",1732,Not Applicable,Not Applicable
,"Apr., 2013","2013/04","30-34 years","30-34",2002,Not Applicable,Not Applicable
,"Apr., 2013","2013/04","35-39 years","35-39",2259,Not Applicable,Not Applicable
,"Apr., 2013","2013/04","40-44 years","40-44",3398,Not Applicable,Not Applicable
,"Apr., 2013","2013/04","45-49 years","45-49",5459,Not Applicable,Not Applicable
,"Apr., 2013","2013/04","50-54 years","50-54",9068,Not Applicable,Not Applicable
,"Apr., 2013","2013/04","55-59 years","55-59",12572,Not Applicable,Not Applicable
,"Apr., 2013","2013/04","60-64 years ","60-64",15054,Not Applicable,Not Applicable
,"Apr., 2013","2013/04","65-69 years","65-69",17553,Not Applicable,Not Applicable
,"Apr., 2013","2013/04","70-74 years","70-74",19812,Not Applicable,Not Applicable
,"Apr., 2013","2013/04","75-79 years","75-79",23118,Not Applicable,Not Applicable
,"Apr., 2013","2013/04","80-84 years","80-84",28853,Not Applicable,Not Applicable
,"Apr., 2013","2013/04","85-89 years","85-89",32193,Not Applicable,Not Applicable
,"Apr., 2013","2013/04","90-94 years","90-94",24393,Not Applicable,Not Applicable
,"Apr., 2013","2013/04","95-99 years","95-99",9471,Not Applicable,Not Applicable
,"Apr., 2013","2013/04","100+ years","100+",1921,Not Applicable,Not Applicable
,"Apr., 2013","2013/04","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"May, 2013","2013/05","< 1 year","1",2028,Not Applicable,Not Applicable
,"May, 2013","2013/05","1-4 years","1-4",348,Not Applicable,Not Applicable
,"May, 2013","2013/05","5-9 years","5-9",231,Not Applicable,Not Applicable
,"May, 2013","2013/05","10-14 years","10-14",238,Not Applicable,Not Applicable
,"May, 2013","2013/05","15-19 years","15-19",780,Not Applicable,Not Applicable
,"May, 2013","2013/05","20-24 years","20-24",1615,Not Applicable,Not Applicable
,"May, 2013","2013/05","25-29 years","25-29",1775,Not Applicable,Not Applicable
,"May, 2013","2013/05","30-34 years","30-34",1932,Not Applicable,Not Applicable
,"May, 2013","2013/05","35-39 years","35-39",2309,Not Applicable,Not Applicable
,"May, 2013","2013/05","40-44 years","40-44",3471,Not Applicable,Not Applicable
,"May, 2013","2013/05","45-49 years","45-49",5546,Not Applicable,Not Applicable
,"May, 2013","2013/05","50-54 years","50-54",9208,Not Applicable,Not Applicable
,"May, 2013","2013/05","55-59 years","55-59",12324,Not Applicable,Not Applicable
,"May, 2013","2013/05","60-64 years ","60-64",15085,Not Applicable,Not Applicable
,"May, 2013","2013/05","65-69 years","65-69",17616,Not Applicable,Not Applicable
,"May, 2013","2013/05","70-74 years","70-74",19530,Not Applicable,Not Applicable
,"May, 2013","2013/05","75-79 years","75-79",22595,Not Applicable,Not Applicable
,"May, 2013","2013/05","80-84 years","80-84",28161,Not Applicable,Not Applicable
,"May, 2013","2013/05","85-89 years","85-89",31303,Not Applicable,Not Applicable
,"May, 2013","2013/05","90-94 years","90-94",23129,Not Applicable,Not Applicable
,"May, 2013","2013/05","95-99 years","95-99",8920,Not Applicable,Not Applicable
,"May, 2013","2013/05","100+ years","100+",1913,Not Applicable,Not Applicable
,"May, 2013","2013/05","Not Stated","NS",19,Not Applicable,Not Applicable
,"Jun., 2013","2013/06","< 1 year","1",1966,Not Applicable,Not Applicable
,"Jun., 2013","2013/06","1-4 years","1-4",387,Not Applicable,Not Applicable
,"Jun., 2013","2013/06","5-9 years","5-9",196,Not Applicable,Not Applicable
,"Jun., 2013","2013/06","10-14 years","10-14",258,Not Applicable,Not Applicable
,"Jun., 2013","2013/06","15-19 years","15-19",869,Not Applicable,Not Applicable
,"Jun., 2013","2013/06","20-24 years","20-24",1664,Not Applicable,Not Applicable
,"Jun., 2013","2013/06","25-29 years","25-29",1834,Not Applicable,Not Applicable
,"Jun., 2013","2013/06","30-34 years","30-34",2041,Not Applicable,Not Applicable
,"Jun., 2013","2013/06","35-39 years","35-39",2307,Not Applicable,Not Applicable
,"Jun., 2013","2013/06","40-44 years","40-44",3404,Not Applicable,Not Applicable
,"Jun., 2013","2013/06","45-49 years","45-49",5285,Not Applicable,Not Applicable
,"Jun., 2013","2013/06","50-54 years","50-54",8903,Not Applicable,Not Applicable
,"Jun., 2013","2013/06","55-59 years","55-59",12295,Not Applicable,Not Applicable
,"Jun., 2013","2013/06","60-64 years ","60-64",14574,Not Applicable,Not Applicable
,"Jun., 2013","2013/06","65-69 years","65-69",16831,Not Applicable,Not Applicable
,"Jun., 2013","2013/06","70-74 years","70-74",18396,Not Applicable,Not Applicable
,"Jun., 2013","2013/06","75-79 years","75-79",21273,Not Applicable,Not Applicable
,"Jun., 2013","2013/06","80-84 years","80-84",26315,Not Applicable,Not Applicable
,"Jun., 2013","2013/06","85-89 years","85-89",29174,Not Applicable,Not Applicable
,"Jun., 2013","2013/06","90-94 years","90-94",21687,Not Applicable,Not Applicable
,"Jun., 2013","2013/06","95-99 years","95-99",8501,Not Applicable,Not Applicable
,"Jun., 2013","2013/06","100+ years","100+",1836,Not Applicable,Not Applicable
,"Jun., 2013","2013/06","Not Stated","NS",14,Not Applicable,Not Applicable
,"Jul., 2013","2013/07","< 1 year","1",1969,Not Applicable,Not Applicable
,"Jul., 2013","2013/07","1-4 years","1-4",386,Not Applicable,Not Applicable
,"Jul., 2013","2013/07","5-9 years","5-9",217,Not Applicable,Not Applicable
,"Jul., 2013","2013/07","10-14 years","10-14",277,Not Applicable,Not Applicable
,"Jul., 2013","2013/07","15-19 years","15-19",846,Not Applicable,Not Applicable
,"Jul., 2013","2013/07","20-24 years","20-24",1749,Not Applicable,Not Applicable
,"Jul., 2013","2013/07","25-29 years","25-29",1871,Not Applicable,Not Applicable
,"Jul., 2013","2013/07","30-34 years","30-34",2135,Not Applicable,Not Applicable
,"Jul., 2013","2013/07","35-39 years","35-39",2415,Not Applicable,Not Applicable
,"Jul., 2013","2013/07","40-44 years","40-44",3407,Not Applicable,Not Applicable
,"Jul., 2013","2013/07","45-49 years","45-49",5501,Not Applicable,Not Applicable
,"Jul., 2013","2013/07","50-54 years","50-54",9174,Not Applicable,Not Applicable
,"Jul., 2013","2013/07","55-59 years","55-59",12595,Not Applicable,Not Applicable
,"Jul., 2013","2013/07","60-64 years ","60-64",15080,Not Applicable,Not Applicable
,"Jul., 2013","2013/07","65-69 years","65-69",17288,Not Applicable,Not Applicable
,"Jul., 2013","2013/07","70-74 years","70-74",19083,Not Applicable,Not Applicable
,"Jul., 2013","2013/07","75-79 years","75-79",21537,Not Applicable,Not Applicable
,"Jul., 2013","2013/07","80-84 years","80-84",26929,Not Applicable,Not Applicable
,"Jul., 2013","2013/07","85-89 years","85-89",29400,Not Applicable,Not Applicable
,"Jul., 2013","2013/07","90-94 years","90-94",22162,Not Applicable,Not Applicable
,"Jul., 2013","2013/07","95-99 years","95-99",8679,Not Applicable,Not Applicable
,"Jul., 2013","2013/07","100+ years","100+",1800,Not Applicable,Not Applicable
,"Jul., 2013","2013/07","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Aug., 2013","2013/08","< 1 year","1",1973,Not Applicable,Not Applicable
,"Aug., 2013","2013/08","1-4 years","1-4",352,Not Applicable,Not Applicable
,"Aug., 2013","2013/08","5-9 years","5-9",207,Not Applicable,Not Applicable
,"Aug., 2013","2013/08","10-14 years","10-14",243,Not Applicable,Not Applicable
,"Aug., 2013","2013/08","15-19 years","15-19",869,Not Applicable,Not Applicable
,"Aug., 2013","2013/08","20-24 years","20-24",1632,Not Applicable,Not Applicable
,"Aug., 2013","2013/08","25-29 years","25-29",1834,Not Applicable,Not Applicable
,"Aug., 2013","2013/08","30-34 years","30-34",2116,Not Applicable,Not Applicable
,"Aug., 2013","2013/08","35-39 years","35-39",2387,Not Applicable,Not Applicable
,"Aug., 2013","2013/08","40-44 years","40-44",3492,Not Applicable,Not Applicable
,"Aug., 2013","2013/08","45-49 years","45-49",5521,Not Applicable,Not Applicable
,"Aug., 2013","2013/08","50-54 years","50-54",9095,Not Applicable,Not Applicable
,"Aug., 2013","2013/08","55-59 years","55-59",12482,Not Applicable,Not Applicable
,"Aug., 2013","2013/08","60-64 years ","60-64",14840,Not Applicable,Not Applicable
,"Aug., 2013","2013/08","65-69 years","65-69",17078,Not Applicable,Not Applicable
,"Aug., 2013","2013/08","70-74 years","70-74",19144,Not Applicable,Not Applicable
,"Aug., 2013","2013/08","75-79 years","75-79",21900,Not Applicable,Not Applicable
,"Aug., 2013","2013/08","80-84 years","80-84",27015,Not Applicable,Not Applicable
,"Aug., 2013","2013/08","85-89 years","85-89",29694,Not Applicable,Not Applicable
,"Aug., 2013","2013/08","90-94 years","90-94",22077,Not Applicable,Not Applicable
,"Aug., 2013","2013/08","95-99 years","95-99",8757,Not Applicable,Not Applicable
,"Aug., 2013","2013/08","100+ years","100+",1869,Not Applicable,Not Applicable
,"Aug., 2013","2013/08","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Sep., 2013","2013/09","< 1 year","1",1955,Not Applicable,Not Applicable
,"Sep., 2013","2013/09","1-4 years","1-4",315,Not Applicable,Not Applicable
,"Sep., 2013","2013/09","5-9 years","5-9",171,Not Applicable,Not Applicable
,"Sep., 2013","2013/09","10-14 years","10-14",247,Not Applicable,Not Applicable
,"Sep., 2013","2013/09","15-19 years","15-19",760,Not Applicable,Not Applicable
,"Sep., 2013","2013/09","20-24 years","20-24",1551,Not Applicable,Not Applicable
,"Sep., 2013","2013/09","25-29 years","25-29",1724,Not Applicable,Not Applicable
,"Sep., 2013","2013/09","30-34 years","30-34",2028,Not Applicable,Not Applicable
,"Sep., 2013","2013/09","35-39 years","35-39",2243,Not Applicable,Not Applicable
,"Sep., 2013","2013/09","40-44 years","40-44",3321,Not Applicable,Not Applicable
,"Sep., 2013","2013/09","45-49 years","45-49",5198,Not Applicable,Not Applicable
,"Sep., 2013","2013/09","50-54 years","50-54",8615,Not Applicable,Not Applicable
,"Sep., 2013","2013/09","55-59 years","55-59",11920,Not Applicable,Not Applicable
,"Sep., 2013","2013/09","60-64 years ","60-64",14573,Not Applicable,Not Applicable
,"Sep., 2013","2013/09","65-69 years","65-69",16821,Not Applicable,Not Applicable
,"Sep., 2013","2013/09","70-74 years","70-74",18496,Not Applicable,Not Applicable
,"Sep., 2013","2013/09","75-79 years","75-79",21148,Not Applicable,Not Applicable
,"Sep., 2013","2013/09","80-84 years","80-84",26236,Not Applicable,Not Applicable
,"Sep., 2013","2013/09","85-89 years","85-89",29016,Not Applicable,Not Applicable
,"Sep., 2013","2013/09","90-94 years","90-94",21945,Not Applicable,Not Applicable
,"Sep., 2013","2013/09","95-99 years","95-99",8721,Not Applicable,Not Applicable
,"Sep., 2013","2013/09","100+ years","100+",1768,Not Applicable,Not Applicable
,"Sep., 2013","2013/09","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Oct., 2013","2013/10","< 1 year","1",2044,Not Applicable,Not Applicable
,"Oct., 2013","2013/10","1-4 years","1-4",295,Not Applicable,Not Applicable
,"Oct., 2013","2013/10","5-9 years","5-9",182,Not Applicable,Not Applicable
,"Oct., 2013","2013/10","10-14 years","10-14",210,Not Applicable,Not Applicable
,"Oct., 2013","2013/10","15-19 years","15-19",757,Not Applicable,Not Applicable
,"Oct., 2013","2013/10","20-24 years","20-24",1549,Not Applicable,Not Applicable
,"Oct., 2013","2013/10","25-29 years","25-29",1718,Not Applicable,Not Applicable
,"Oct., 2013","2013/10","30-34 years","30-34",1977,Not Applicable,Not Applicable
,"Oct., 2013","2013/10","35-39 years","35-39",2339,Not Applicable,Not Applicable
,"Oct., 2013","2013/10","40-44 years","40-44",3440,Not Applicable,Not Applicable
,"Oct., 2013","2013/10","45-49 years","45-49",5406,Not Applicable,Not Applicable
,"Oct., 2013","2013/10","50-54 years","50-54",9060,Not Applicable,Not Applicable
,"Oct., 2013","2013/10","55-59 years","55-59",12633,Not Applicable,Not Applicable
,"Oct., 2013","2013/10","60-64 years ","60-64",15296,Not Applicable,Not Applicable
,"Oct., 2013","2013/10","65-69 years","65-69",17758,Not Applicable,Not Applicable
,"Oct., 2013","2013/10","70-74 years","70-74",20039,Not Applicable,Not Applicable
,"Oct., 2013","2013/10","75-79 years","75-79",22886,Not Applicable,Not Applicable
,"Oct., 2013","2013/10","80-84 years","80-84",27686,Not Applicable,Not Applicable
,"Oct., 2013","2013/10","85-89 years","85-89",31138,Not Applicable,Not Applicable
,"Oct., 2013","2013/10","90-94 years","90-94",23803,Not Applicable,Not Applicable
,"Oct., 2013","2013/10","95-99 years","95-99",9491,Not Applicable,Not Applicable
,"Oct., 2013","2013/10","100+ years","100+",1982,Not Applicable,Not Applicable
,"Oct., 2013","2013/10","Not Stated","NS",13,Not Applicable,Not Applicable
,"Nov., 2013","2013/11","< 1 year","1",1845,Not Applicable,Not Applicable
,"Nov., 2013","2013/11","1-4 years","1-4",296,Not Applicable,Not Applicable
,"Nov., 2013","2013/11","5-9 years","5-9",185,Not Applicable,Not Applicable
,"Nov., 2013","2013/11","10-14 years","10-14",224,Not Applicable,Not Applicable
,"Nov., 2013","2013/11","15-19 years","15-19",765,Not Applicable,Not Applicable
,"Nov., 2013","2013/11","20-24 years","20-24",1522,Not Applicable,Not Applicable
,"Nov., 2013","2013/11","25-29 years","25-29",1725,Not Applicable,Not Applicable
,"Nov., 2013","2013/11","30-34 years","30-34",2019,Not Applicable,Not Applicable
,"Nov., 2013","2013/11","35-39 years","35-39",2311,Not Applicable,Not Applicable
,"Nov., 2013","2013/11","40-44 years","40-44",3472,Not Applicable,Not Applicable
,"Nov., 2013","2013/11","45-49 years","45-49",5406,Not Applicable,Not Applicable
,"Nov., 2013","2013/11","50-54 years","50-54",9034,Not Applicable,Not Applicable
,"Nov., 2013","2013/11","55-59 years","55-59",12575,Not Applicable,Not Applicable
,"Nov., 2013","2013/11","60-64 years ","60-64",15313,Not Applicable,Not Applicable
,"Nov., 2013","2013/11","65-69 years","65-69",17795,Not Applicable,Not Applicable
,"Nov., 2013","2013/11","70-74 years","70-74",19796,Not Applicable,Not Applicable
,"Nov., 2013","2013/11","75-79 years","75-79",22712,Not Applicable,Not Applicable
,"Nov., 2013","2013/11","80-84 years","80-84",28020,Not Applicable,Not Applicable
,"Nov., 2013","2013/11","85-89 years","85-89",31492,Not Applicable,Not Applicable
,"Nov., 2013","2013/11","90-94 years","90-94",23786,Not Applicable,Not Applicable
,"Nov., 2013","2013/11","95-99 years","95-99",9448,Not Applicable,Not Applicable
,"Nov., 2013","2013/11","100+ years","100+",2092,Not Applicable,Not Applicable
,"Nov., 2013","2013/11","Not Stated","NS",17,Not Applicable,Not Applicable
,"Dec., 2013","2013/12","< 1 year","1",1954,Not Applicable,Not Applicable
,"Dec., 2013","2013/12","1-4 years","1-4",334,Not Applicable,Not Applicable
,"Dec., 2013","2013/12","5-9 years","5-9",194,Not Applicable,Not Applicable
,"Dec., 2013","2013/12","10-14 years","10-14",234,Not Applicable,Not Applicable
,"Dec., 2013","2013/12","15-19 years","15-19",776,Not Applicable,Not Applicable
,"Dec., 2013","2013/12","20-24 years","20-24",1581,Not Applicable,Not Applicable
,"Dec., 2013","2013/12","25-29 years","25-29",1808,Not Applicable,Not Applicable
,"Dec., 2013","2013/12","30-34 years","30-34",2112,Not Applicable,Not Applicable
,"Dec., 2013","2013/12","35-39 years","35-39",2461,Not Applicable,Not Applicable
,"Dec., 2013","2013/12","40-44 years","40-44",3634,Not Applicable,Not Applicable
,"Dec., 2013","2013/12","45-49 years","45-49",5879,Not Applicable,Not Applicable
,"Dec., 2013","2013/12","50-54 years","50-54",9927,Not Applicable,Not Applicable
,"Dec., 2013","2013/12","55-59 years","55-59",13856,Not Applicable,Not Applicable
,"Dec., 2013","2013/12","60-64 years ","60-64",17008,Not Applicable,Not Applicable
,"Dec., 2013","2013/12","65-69 years","65-69",19386,Not Applicable,Not Applicable
,"Dec., 2013","2013/12","70-74 years","70-74",21535,Not Applicable,Not Applicable
,"Dec., 2013","2013/12","75-79 years","75-79",24556,Not Applicable,Not Applicable
,"Dec., 2013","2013/12","80-84 years","80-84",30594,Not Applicable,Not Applicable
,"Dec., 2013","2013/12","85-89 years","85-89",34065,Not Applicable,Not Applicable
,"Dec., 2013","2013/12","90-94 years","90-94",25731,Not Applicable,Not Applicable
,"Dec., 2013","2013/12","95-99 years","95-99",10317,Not Applicable,Not Applicable
,"Dec., 2013","2013/12","100+ years","100+",2163,Not Applicable,Not Applicable
,"Dec., 2013","2013/12","Not Stated","NS",17,Not Applicable,Not Applicable
,"Jan., 2014","2014/01","< 1 year","1",1935,Not Applicable,Not Applicable
,"Jan., 2014","2014/01","1-4 years","1-4",378,Not Applicable,Not Applicable
,"Jan., 2014","2014/01","5-9 years","5-9",229,Not Applicable,Not Applicable
,"Jan., 2014","2014/01","10-14 years","10-14",233,Not Applicable,Not Applicable
,"Jan., 2014","2014/01","15-19 years","15-19",803,Not Applicable,Not Applicable
,"Jan., 2014","2014/01","20-24 years","20-24",1559,Not Applicable,Not Applicable
,"Jan., 2014","2014/01","25-29 years","25-29",1810,Not Applicable,Not Applicable
,"Jan., 2014","2014/01","30-34 years","30-34",2201,Not Applicable,Not Applicable
,"Jan., 2014","2014/01","35-39 years","35-39",2645,Not Applicable,Not Applicable
,"Jan., 2014","2014/01","40-44 years","40-44",3921,Not Applicable,Not Applicable
,"Jan., 2014","2014/01","45-49 years","45-49",6303,Not Applicable,Not Applicable
,"Jan., 2014","2014/01","50-54 years","50-54",10540,Not Applicable,Not Applicable
,"Jan., 2014","2014/01","55-59 years","55-59",15133,Not Applicable,Not Applicable
,"Jan., 2014","2014/01","60-64 years ","60-64",18178,Not Applicable,Not Applicable
,"Jan., 2014","2014/01","65-69 years","65-69",20505,Not Applicable,Not Applicable
,"Jan., 2014","2014/01","70-74 years","70-74",22753,Not Applicable,Not Applicable
,"Jan., 2014","2014/01","75-79 years","75-79",26137,Not Applicable,Not Applicable
,"Jan., 2014","2014/01","80-84 years","80-84",32064,Not Applicable,Not Applicable
,"Jan., 2014","2014/01","85-89 years","85-89",35554,Not Applicable,Not Applicable
,"Jan., 2014","2014/01","90-94 years","90-94",27138,Not Applicable,Not Applicable
,"Jan., 2014","2014/01","95-99 years","95-99",10921,Not Applicable,Not Applicable
,"Jan., 2014","2014/01","100+ years","100+",2340,Not Applicable,Not Applicable
,"Jan., 2014","2014/01","Not Stated","NS",18,Not Applicable,Not Applicable
,"Feb., 2014","2014/02","< 1 year","1",1805,Not Applicable,Not Applicable
,"Feb., 2014","2014/02","1-4 years","1-4",301,Not Applicable,Not Applicable
,"Feb., 2014","2014/02","5-9 years","5-9",166,Not Applicable,Not Applicable
,"Feb., 2014","2014/02","10-14 years","10-14",227,Not Applicable,Not Applicable
,"Feb., 2014","2014/02","15-19 years","15-19",622,Not Applicable,Not Applicable
,"Feb., 2014","2014/02","20-24 years","20-24",1408,Not Applicable,Not Applicable
,"Feb., 2014","2014/02","25-29 years","25-29",1682,Not Applicable,Not Applicable
,"Feb., 2014","2014/02","30-34 years","30-34",1916,Not Applicable,Not Applicable
,"Feb., 2014","2014/02","35-39 years","35-39",2286,Not Applicable,Not Applicable
,"Feb., 2014","2014/02","40-44 years","40-44",3278,Not Applicable,Not Applicable
,"Feb., 2014","2014/02","45-49 years","45-49",5256,Not Applicable,Not Applicable
,"Feb., 2014","2014/02","50-54 years","50-54",9143,Not Applicable,Not Applicable
,"Feb., 2014","2014/02","55-59 years","55-59",12858,Not Applicable,Not Applicable
,"Feb., 2014","2014/02","60-64 years ","60-64",15447,Not Applicable,Not Applicable
,"Feb., 2014","2014/02","65-69 years","65-69",17813,Not Applicable,Not Applicable
,"Feb., 2014","2014/02","70-74 years","70-74",19824,Not Applicable,Not Applicable
,"Feb., 2014","2014/02","75-79 years","75-79",22947,Not Applicable,Not Applicable
,"Feb., 2014","2014/02","80-84 years","80-84",27994,Not Applicable,Not Applicable
,"Feb., 2014","2014/02","85-89 years","85-89",31404,Not Applicable,Not Applicable
,"Feb., 2014","2014/02","90-94 years","90-94",24061,Not Applicable,Not Applicable
,"Feb., 2014","2014/02","95-99 years","95-99",9546,Not Applicable,Not Applicable
,"Feb., 2014","2014/02","100+ years","100+",1979,Not Applicable,Not Applicable
,"Feb., 2014","2014/02","Not Stated","NS",17,Not Applicable,Not Applicable
,"Mar., 2014","2014/03","< 1 year","1",1932,Not Applicable,Not Applicable
,"Mar., 2014","2014/03","1-4 years","1-4",339,Not Applicable,Not Applicable
,"Mar., 2014","2014/03","5-9 years","5-9",205,Not Applicable,Not Applicable
,"Mar., 2014","2014/03","10-14 years","10-14",241,Not Applicable,Not Applicable
,"Mar., 2014","2014/03","15-19 years","15-19",773,Not Applicable,Not Applicable
,"Mar., 2014","2014/03","20-24 years","20-24",1626,Not Applicable,Not Applicable
,"Mar., 2014","2014/03","25-29 years","25-29",1712,Not Applicable,Not Applicable
,"Mar., 2014","2014/03","30-34 years","30-34",2064,Not Applicable,Not Applicable
,"Mar., 2014","2014/03","35-39 years","35-39",2406,Not Applicable,Not Applicable
,"Mar., 2014","2014/03","40-44 years","40-44",3594,Not Applicable,Not Applicable
,"Mar., 2014","2014/03","45-49 years","45-49",5685,Not Applicable,Not Applicable
,"Mar., 2014","2014/03","50-54 years","50-54",9521,Not Applicable,Not Applicable
,"Mar., 2014","2014/03","55-59 years","55-59",13461,Not Applicable,Not Applicable
,"Mar., 2014","2014/03","60-64 years ","60-64",16503,Not Applicable,Not Applicable
,"Mar., 2014","2014/03","65-69 years","65-69",19163,Not Applicable,Not Applicable
,"Mar., 2014","2014/03","70-74 years","70-74",21717,Not Applicable,Not Applicable
,"Mar., 2014","2014/03","75-79 years","75-79",24725,Not Applicable,Not Applicable
,"Mar., 2014","2014/03","80-84 years","80-84",30009,Not Applicable,Not Applicable
,"Mar., 2014","2014/03","85-89 years","85-89",33734,Not Applicable,Not Applicable
,"Mar., 2014","2014/03","90-94 years","90-94",26290,Not Applicable,Not Applicable
,"Mar., 2014","2014/03","95-99 years","95-99",10498,Not Applicable,Not Applicable
,"Mar., 2014","2014/03","100+ years","100+",2271,Not Applicable,Not Applicable
,"Mar., 2014","2014/03","Not Stated","NS",Suppressed,Not Applicable,Not Applicable
,"Apr., 2014","2014/04","< 1 year","1",1966,Not Applicable,Not Applicable
,"Apr., 2014","2014/04","1-4 years","1-4",296,Not Applicable,Not Applicable
,"Apr., 2014","2014/04","5-9 years","5-9",180,Not Applicable,Not Applicable
,"Apr., 2014","2014/04","10-14 years","10-14",246,Not Applicable,Not Applicable
,"Apr., 2014","2014/04","15-19 years","15-19",745,Not Applicable,Not Applicable
,"Apr., 2014","2014/04","20-24 years","20-24",1499,Not Applicable,Not Applicable
,"Apr., 2014","2014/04","25-29 years","25-29",1792,Not Applicable,Not Applicable
,"Apr., 2014","2014/04","30-34 years","30-34",1949,Not Applicable,Not Applicable
,"Apr., 2014","2014/04","35-39 years","35-39",2349,Not Applicable,Not Applicable
,"Apr., 2014","2014/04","40-44 years","40-44",3438,Not Applicable,Not Applicable
,"Apr., 2014","2014/04","45-49 years","45-49",5209,Not Applicable,Not Applicable
,"Apr., 2014","2014/04","50-54 years","50-54",9060,Not Applicable,Not Applicable
,"Apr., 2014","2014/04","55-59 years","55-59",12816,Not Applicable,Not Applicable
,"Apr., 2014","2014/04","60-64 years ","60-64",15443,Not Applicable,Not Applicable
,"Apr., 2014","2014/04","65-69 years","65-69",18342,Not Applicable,Not Applicable
,"Apr., 2014","2014/04","70-74 years","70-74",20423,Not Applicable,Not Applicable
,"Apr., 2014","2014/04","75-79 years","75-79",23153,Not Applicable,Not Applicable
,"Apr., 2014","2014/04","80-84 years","80-84",28130,Not Applicable,Not Applicable
