"Notes","Month","Month Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"Aug., 1999","1999/08","85-89 years","85-89",24220,Not Applicable,Not Applicable
,"Aug., 1999","1999/08","90-94 years","90-94",15390,Not Applicable,Not Applicable
,"Aug., 1999","1999/08","95-99 years","95-99",5994,Not Applicable,Not Applicable
,"Aug., 1999","1999/08","100+ years","100+",1244,Not Applicable,Not Applicable
,"Aug., 1999","1999/08","Not Stated","NS",37,Not Applicable,Not Applicable
,"Sep., 1999","1999/09","< 1 year","1",2344,Not Applicable,Not Applicable
,"Sep., 1999","1999/09","1-4 years","1-4",382,Not Applicable,Not Applicable
,"Sep., 1999","1999/09","5-9 years","5-9",256,Not Applicable,Not Applicable
,"Sep., 1999","1999/09","10-14 years","10-14",342,Not Applicable,Not Applicable
,"Sep., 1999","1999/09","15-19 years","15-19",1148,Not Applicable,Not Applicable
,"Sep., 1999","1999/09","20-24 years","20-24",1353,Not Applicable,Not Applicable
,"Sep., 1999","1999/09","25-29 years","25-29",1442,Not Applicable,Not Applicable
,"Sep., 1999","1999/09","30-34 years","30-34",1957,Not Applicable,Not Applicable
,"Sep., 1999","1999/09","35-39 years","35-39",2929,Not Applicable,Not Applicable
,"Sep., 1999","1999/09","40-44 years","40-44",4152,Not Applicable,Not Applicable
,"Sep., 1999","1999/09","45-49 years","45-49",5517,Not Applicable,Not Applicable
,"Sep., 1999","1999/09","50-54 years","50-54",6851,Not Applicable,Not Applicable
,"Sep., 1999","1999/09","55-59 years","55-59",8176,Not Applicable,Not Applicable
,"Sep., 1999","1999/09","60-64 years ","60-64",10084,Not Applicable,Not Applicable
,"Sep., 1999","1999/09","65-69 years","65-69",14066,Not Applicable,Not Applicable
,"Sep., 1999","1999/09","70-74 years","70-74",20126,Not Applicable,Not Applicable
,"Sep., 1999","1999/09","75-79 years","75-79",25444,Not Applicable,Not Applicable
,"Sep., 1999","1999/09","80-84 years","80-84",26644,Not Applicable,Not Applicable
,"Sep., 1999","1999/09","85-89 years","85-89",24136,Not Applicable,Not Applicable
,"Sep., 1999","1999/09","90-94 years","90-94",15576,Not Applicable,Not Applicable
,"Sep., 1999","1999/09","95-99 years","95-99",6154,Not Applicable,Not Applicable
,"Sep., 1999","1999/09","100+ years","100+",1200,Not Applicable,Not Applicable
,"Sep., 1999","1999/09","Not Stated","NS",31,Not Applicable,Not Applicable
,"Oct., 1999","1999/10","< 1 year","1",2415,Not Applicable,Not Applicable
,"Oct., 1999","1999/10","1-4 years","1-4",411,Not Applicable,Not Applicable
,"Oct., 1999","1999/10","5-9 years","5-9",264,Not Applicable,Not Applicable
,"Oct., 1999","1999/10","10-14 years","10-14",330,Not Applicable,Not Applicable
,"Oct., 1999","1999/10","15-19 years","15-19",1148,Not Applicable,Not Applicable
,"Oct., 1999","1999/10","20-24 years","20-24",1471,Not Applicable,Not Applicable
,"Oct., 1999","1999/10","25-29 years","25-29",1517,Not Applicable,Not Applicable
,"Oct., 1999","1999/10","30-34 years","30-34",1997,Not Applicable,Not Applicable
,"Oct., 1999","1999/10","35-39 years","35-39",3004,Not Applicable,Not Applicable
,"Oct., 1999","1999/10","40-44 years","40-44",4347,Not Applicable,Not Applicable
