GENESIS-Tabelle: 12411-0005
Bevölkerung: Deutschland, Stichtag, Altersjahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;31.12.1970;31.12.1971;31.12.1972;31.12.1973;31.12.1974;31.12.1975;31.12.1976;31.12.1977;31.12.1978;31.12.1979;31.12.1980;31.12.1981;31.12.1982;31.12.1983;31.12.1984;31.12.1985;31.12.1986;31.12.1987;31.12.1988;31.12.1989;31.12.1990;31.12.1991;31.12.1992;31.12.1993;31.12.1994;31.12.1995;31.12.1996;31.12.1997;31.12.1998;31.12.1999;31.12.2000;31.12.2001;31.12.2002;31.12.2003;31.12.2004;31.12.2005;31.12.2006;31.12.2007;31.12.2008;31.12.2009;31.12.2010;31.12.2011;31.12.2012;31.12.2013;31.12.2014;31.12.2015;31.12.2016;31.12.2017;31.12.2018;31.12.2019;31.12.2020;31.12.2021;31.12.2022
33-Jährige;952078;1015661;1077110;1097866;1005810;830878;837658;815425;623568;721760;784523;834276;872690;869739;836349;853805;844862;857107;873218;928791;1211664;1239600;1317201;1364992;1404755;1429623;1476934;1482170;1452226;1439408;1398313;1364225;1300709;1209537;1153319;1042546;947988;935674;917670;938277;952357;940163;958884;1013278;1021180;1049220;1032181;1036879;1050793;1088700;1112354;1141779;1144607
34-Jährige;944510;958855;1019006;1081492;1090314;996369;824147;834481;813107;624155;722714;784063;829549;868185;864806;836285;855887;834729;865415;892412;1187654;1221055;1253288;1323356;1368319;1409321;1431707;1473992;1477878;1450859;1438889;1399998;1364686;1300032;1208122;1152640;1041238;947002;932383;915344;939778;934168;947811;967553;1024599;1040669;1054476;1039206;1043355;1055201;1091312;1116555;1169014
35-Jährige;924616;950956;961315;1023185;1074513;1079300;989846;820078;832335;813652;625470;721990;779664;824841;862602;864532;837874;848163;842503;883283;1155965;1196415;1233460;1258843;1326804;1372648;1411204;1429201;1470144;1477274;1450005;1440128;1400187;1363600;1298062;1206890;1150624;1040387;943717;929932;916592;918663;941418;956046;977736;1045965;1045463;1060221;1045184;1048086;1058097;1094982;1142682
36-Jährige;875280;928986;952380;963411;1016277;1064300;1071840;986288;817925;832369;814550;624759;718054;775248;818063;861629;865424;836270;855129;858694;1144045;1164368;1208262;1237963;1261922;1331009;1374371;1408904;1425420;1469050;1476581;1450670;1439945;1398377;1361271;1296427;1204737;1149399;1036781;941388;931178;894923;925567;949147;965515;995685;1050450;1051212;1065675;1048762;1050221;1061333;1122276
37-Jährige;722373;879562;929763;953012;956835;1006516;1057707;1067293;983948;817970;833130;813874;621221;713859;768152;816749;862163;866474;842445;870040;1117268;1151369;1175667;1211982;1240684;1265937;1332457;1371973;1405391;1424872;1468164;1476899;1450555;1438447;1396023;1359348;1293844;1203073;1145602;1034274;941733;910408;901764;932728;957954;981810;999664;1056495;1056516;1069168;1050675;1053033;1086924
38-Jährige;730245;727154;880158;930592;946633;947757;999820;1053726;1064619;983752;818610;832242;810197;617469;706994;766846;816920;868052;871902;856502;1125533;1123727;1161835;1179327;1214602;1244156;1267071;1329843;1368338;1404723;1424090;1468690;1476463;1448475;1436163;1394246;1356761;1292288;1199102;1142479;1034552;921373;916291;908451;940936;973528;985590;1004728;1060769;1059479;1070818;1053223;1078534
39-Jährige;754052;734208;728003;880736;924224;937822;941562;995833;1051054;1063833;983990;817446;828798;806406;610034;705509;766691;826116;872315;884413;1108816;1131613;1132693;1164951;1181910;1217878;1244912;1264686;1326571;1368060;1403988;1424674;1468226;1474533;1446132;1434231;1391454;1354786;1288341;1195999;1142789;1004079;926976;922733;916475;954756;976871;990554;1009272;1063715;1061065;1072623;1078631
40-Jährige;810214;756874;734630;728708;874384;916371;931808;937946;993152;1050479;1063737;982964;813840;825244;799807;608731;705080;781984;829516;882766;1125167;1114017;1139818;1134795;1167176;1184750;1218365;1242684;1261563;1326138;1367322;1404263;1424198;1466359;1471934;1444134;1431227;1389707;1350555;1285204;1195874;1110733;1009291;932501;930179;930453;957877;981486;995070;1011818;1065188;1062573;1095007
41-Jährige;797277;812616;756287;734373;722793;866275;911059;928236;935378;992243;1050156;1062329;979137;809940;818512;798294;608415;719039;784544;837532;1093383;1130085;1120728;1141332;1136234;1169573;1185333;1215465;1239293;1261066;1325466;1367630;1403660;1422470;1463934;1469543;1441134;1428871;1385779;1347487;1285082;1154918;1115554;1014658;939183;942794;933123;962843;985641;997428;1013187;1066630;1083334
42-Jährige;812939;798502;811607;755191;728881;714860;860389;907400;925648;934413;991652;1048325;1058041;975139;802359;816745;797811;615698;720752;791265;1014209;1097439;1136310;1121613;1142343;1137650;1169391;1182662;1211987;1238416;1260096;1325031;1366909;1401548;1419889;1461601;1466390;1438489;1424256;1382125;1346531;1245781;1159128;1120204;1020846;950684;945184;937518;966513;987623;998596;1014635;1086248
