year,age_group,jurisdiction,population
2021,75-84,Saarland,9378
2021,75-84,Sachsen,44962
2021,75-84,Sachsen-Anhalt,24295
2021,75-84,Schleswig-Holstein,28345
2021,75-84,Thüringen,23573
2021,75-84,Baden-Württemberg,81783
2021,75-84,Bayern,95282
2021,75-84,Berlin,24207
2021,75-84,Brandenburg,22974
2021,75-84,Bremen,5196
2021,75-84,Hamburg,12047
2021,75-84,Hessen,45136
2021,75-84,Mecklenburg-Vorpommern,14863
2021,75-84,Niedersachsen,64612
2021,75-84,Nordrhein-Westfalen,135348
2021,75-84,Rheinland-Pfalz,31298
2021,75-84,Saarland,8129
2021,75-84,Sachsen,38585
2021,75-84,Sachsen-Anhalt,20508
2021,75-84,Schleswig-Holstein,25216
2021,75-84,Thüringen,19385
2021,75-84,Baden-Württemberg,71550
2021,75-84,Bayern,81727
2021,75-84,Berlin,21414
2021,75-84,Brandenburg,19961
2021,75-84,Bremen,4445
2021,75-84,Hamburg,10642
2021,75-84,Hessen,39443
2021,75-84,Mecklenburg-Vorpommern,12627
2021,75-84,Niedersachsen,55628
2021,75-84,Nordrhein-Westfalen,120003
2021,75-84,Rheinland-Pfalz,27525
2021,75-84,Saarland,7741
2021,75-84,Sachsen,33168
2021,75-84,Sachsen-Anhalt,17882
2021,75-84,Schleswig-Holstein,21819
2021,75-84,Thüringen,16398
2021,85+,Baden-Württemberg,63871
2021,85+,Bayern,71764
2021,85+,Berlin,19002
2021,85+,Brandenburg,18088
2021,85+,Bremen,4042
2021,85+,Hamburg,9623
2021,85+,Hessen,35570
2021,85+,Mecklenburg-Vorpommern,11389
2021,85+,Niedersachsen,48976
2021,85+,Nordrhein-Westfalen,106641
2021,85+,Rheinland-Pfalz,24842
2021,85+,Saarland,7049
2021,85+,Sachsen,30022
2021,85+,Sachsen-Anhalt,15958
2021,85+,Schleswig-Holstein,19011
2021,85+,Thüringen,14785
2021,85+,Baden-Württemberg,55980
2021,85+,Bayern,62067
2021,85+,Berlin,16813
2021,85+,Brandenburg,15927
2021,85+,Bremen,3435
2021,85+,Hamburg,8484
2021,85+,Hessen,30613
2021,85+,Mecklenburg-Vorpommern,10094
2021,85+,Niedersachsen,42891
2021,85+,Nordrhein-Westfalen,94138
2021,85+,Rheinland-Pfalz,21587
2021,85+,Saarland,5808
2021,85+,Sachsen,27005
2021,85+,Sachsen-Anhalt,13964
2021,85+,Schleswig-Holstein,16438
2021,85+,Thüringen,12762
2021,85+,Baden-Württemberg,45776
2021,85+,Bayern,51635
2021,85+,Berlin,14134
2021,85+,Brandenburg,13034
2021,85+,Bremen,2898
2021,85+,Hamburg,6744
2021,85+,Hessen,25459
2021,85+,Mecklenburg-Vorpommern,8433
2021,85+,Niedersachsen,35418
2021,85+,Nordrhein-Westfalen,79302
2021,85+,Rheinland-Pfalz,17856
2021,85+,Saarland,4528
2021,85+,Sachsen,22577
2021,85+,Sachsen-Anhalt,11750
2021,85+,Schleswig-Holstein,13270
2021,85+,Thüringen,10625
2021,85+,Baden-Württemberg,33937
2021,85+,Bayern,38202
2021,85+,Berlin,9077
2021,85+,Brandenburg,8875
2021,85+,Bremen,1973
2021,85+,Hamburg,4665
2021,85+,Hessen,18132
2021,85+,Mecklenburg-Vorpommern,5949
2021,85+,Niedersachsen,24453
2021,85+,Nordrhein-Westfalen,55291
2021,85+,Rheinland-Pfalz,12803
2021,85+,Saarland,3490
2021,85+,Sachsen,15451
2021,85+,Sachsen-Anhalt,8002
2021,85+,Schleswig-Holstein,8824
2021,85+,Thüringen,7183
2021,85+,Baden-Württemberg,28951
2021,85+,Bayern,33361
2021,85+,Berlin,7455
2021,85+,Brandenburg,7636
2021,85+,Bremen,1674
2021,85+,Hamburg,3979
2021,85+,Hessen,15680
2021,85+,Mecklenburg-Vorpommern,5219
2021,85+,Niedersachsen,21124
2021,85+,Nordrhein-Westfalen,48058
2021,85+,Rheinland-Pfalz,11022
2021,85+,Saarland,3068
2021,85+,Sachsen,12845
2021,85+,Sachsen-Anhalt,6927
2021,85+,Schleswig-Holstein,7379
2021,85+,Thüringen,6238
2021,85+,Baden-Württemberg,109355
2021,85+,Bayern,122064
2021,85+,Berlin,29981
2021,85+,Brandenburg,26951
2021,85+,Bremen,7047
2021,85+,Hamburg,17004
2021,85+,Hessen,62814
2021,85+,Mecklenburg-Vorpommern,17296
2021,85+,Niedersachsen,84109
2021,85+,Nordrhein-Westfalen,185973
2021,85+,Rheinland-Pfalz,43988
2021,85+,Saarland,11195
2021,85+,Sachsen,51079
2021,85+,Sachsen-Anhalt,24824
2021,85+,Schleswig-Holstein,30084
2021,85+,Thüringen,22679
2021,all,Baden-Württemberg,11124642
2021,all,Bayern,13176989
2021,all,Berlin,3677472
2021,all,Brandenburg,2537868
2021,all,Bremen,676463
2021,all,Hamburg,1853935
2021,all,Hessen,6295017
2021,all,Mecklenburg-Vorpommern,1611160
2021,all,Niedersachsen,8027031
2021,all,Nordrhein-Westfalen,17924591
2021,all,Rheinland-Pfalz,4106485
2021,all,Saarland,982348
2021,all,Sachsen,4043002
2021,all,Sachsen-Anhalt,2169253
2021,all,Schleswig-Holstein,2922005
2021,all,Thüringen,2108863
2022,0-64,Baden-Württemberg,112744
2022,0-64,Bayern,133995
2022,0-64,Berlin,38071
2022,0-64,Brandenburg,19294
2022,0-64,Bremen,6731
2022,0-64,Hamburg,20356
2022,0-64,Hessen,61392
2022,0-64,Mecklenburg-Vorpommern,11903
2022,0-64,Niedersachsen,76420
2022,0-64,Nordrhein-Westfalen,174065
2022,0-64,Rheinland-Pfalz,38682
2022,0-64,Saarland,8360
2022,0-64,Sachsen,32458
2022,0-64,Sachsen-Anhalt,15982
2022,0-64,Schleswig-Holstein,25456
2022,0-64,Thüringen,15345
2022,0-64,Baden-Württemberg,108774
2022,0-64,Bayern,129958
2022,0-64,Berlin,37693
2022,0-64,Brandenburg,20183
2022,0-64,Bremen,6804
2022,0-64,Hamburg,19346
2022,0-64,Hessen,59701
2022,0-64,Mecklenburg-Vorpommern,12422
2022,0-64,Niedersachsen,75634
2022,0-64,Nordrhein-Westfalen,171831
2022,0-64,Rheinland-Pfalz,38588
2022,0-64,Saarland,8285
2022,0-64,Sachsen,33594
2022,0-64,Sachsen-Anhalt,16488
2022,0-64,Schleswig-Holstein,25300
2022,0-64,Thüringen,16194
2022,0-64,Baden-Württemberg,109823
2022,0-64,Bayern,129569
2022,0-64,Berlin,37690
2022,0-64,Brandenburg,21199
2022,0-64,Bremen,6948
2022,0-64,Hamburg,19490
2022,0-64,Hessen,60328
2022,0-64,Mecklenburg-Vorpommern,13083
2022,0-64,Niedersachsen,76491
2022,0-64,Nordrhein-Westfalen,172990
2022,0-64,Rheinland-Pfalz,38639
2022,0-64,Saarland,8206
2022,0-64,Sachsen,34861
2022,0-64,Sachsen-Anhalt,17170
2022,0-64,Schleswig-Holstein,25782
2022,0-64,Thüringen,16876
2022,0-64,Baden-Württemberg,111115
2022,0-64,Bayern,129633
2022,0-64,Berlin,37705
2022,0-64,Brandenburg,22509
2022,0-64,Bremen,6926
2022,0-64,Hamburg,19419
2022,0-64,Hessen,61762
2022,0-64,Mecklenburg-Vorpommern,13619
2022,0-64,Niedersachsen,77243
2022,0-64,Nordrhein-Westfalen,176766
2022,0-64,Rheinland-Pfalz,39566
2022,0-64,Saarland,8290
2022,0-64,Sachsen,36387
2022,0-64,Sachsen-Anhalt,17945
2022,0-64,Schleswig-Holstein,26678
2022,0-64,Thüringen,17771
2022,0-64,Baden-Württemberg,110863
2022,0-64,Bayern,129953
2022,0-64,Berlin,38045
2022,0-64,Brandenburg,23516
2022,0-64,Bremen,6767
2022,0-64,Hamburg,19463
2022,0-64,Hessen,62270
2022,0-64,Mecklenburg-Vorpommern,13839
2022,0-64,Niedersachsen,77910
2022,0-64,Nordrhein-Westfalen,177260
2022,0-64,Rheinland-Pfalz,40191
2022,0-64,Saarland,8580
2022,0-64,Sachsen,37871
2022,0-64,Sachsen-Anhalt,18719
2022,0-64,Schleswig-Holstein,26965
2022,0-64,Thüringen,18593
2022,0-64,Baden-Württemberg,110759
2022,0-64,Bayern,129250
2022,0-64,Berlin,38034
2022,0-64,Brandenburg,24508
2022,0-64,Bremen,6729
2022,0-64,Hamburg,19433
2022,0-64,Hessen,62702
2022,0-64,Mecklenburg-Vorpommern,14287
2022,0-64,Niedersachsen,78560
2022,0-64,Nordrhein-Westfalen,178609
2022,0-64,Rheinland-Pfalz,40250
2022,0-64,Saarland,8562
2022,0-64,Sachsen,38804
2022,0-64,Sachsen-Anhalt,19105
2022,0-64,Schleswig-Holstein,27483
2022,0-64,Thüringen,19067
2022,0-64,Baden-Württemberg,107308
2022,0-64,Bayern,124700
2022,0-64,Berlin,36094
2022,0-64,Brandenburg,23649
2022,0-64,Bremen,6583
2022,0-64,Hamburg,18409
2022,0-64,Hessen,60777
2022,0-64,Mecklenburg-Vorpommern,14542
2022,0-64,Niedersachsen,75634
2022,0-64,Nordrhein-Westfalen,171997
2022,0-64,Rheinland-Pfalz,38629
2022,0-64,Saarland,8258
2022,0-64,Sachsen,38398
2022,0-64,Sachsen-Anhalt,18785
2022,0-64,Schleswig-Holstein,26555
2022,0-64,Thüringen,19079
2022,0-64,Baden-Württemberg,104892
2022,0-64,Bayern,122233
2022,0-64,Berlin,35629
2022,0-64,Brandenburg,24394
2022,0-64,Bremen,6389
2022,0-64,Hamburg,17869
2022,0-64,Hessen,59287
2022,0-64,Mecklenburg-Vorpommern,14274
2022,0-64,Niedersachsen,75584
2022,0-64,Nordrhein-Westfalen,169537
2022,0-64,Rheinland-Pfalz,38102
2022,0-64,Saarland,8204
2022,0-64,Sachsen,38181
2022,0-64,Sachsen-Anhalt,18965
2022,0-64,Schleswig-Holstein,26469
2022,0-64,Thüringen,19269
2022,0-64,Baden-Württemberg,101860
2022,0-64,Bayern,119134
2022,0-64,Berlin,34079
2022,0-64,Brandenburg,23203
2022,0-64,Bremen,5987
2022,0-64,Hamburg,17215
2022,0-64,Hessen,57540
2022,0-64,Mecklenburg-Vorpommern,14056
2022,0-64,Niedersachsen,72251
2022,0-64,Nordrhein-Westfalen,162458
2022,0-64,Rheinland-Pfalz,36546
2022,0-64,Saarland,7772
2022,0-64,Sachsen,37232
2022,0-64,Sachsen-Anhalt,18515
2022,0-64,Schleswig-Holstein,25706
2022,0-64,Thüringen,18915
2022,0-64,Baden-Württemberg,100626
2022,0-64,Bayern,118194
2022,0-64,Berlin,34072
2022,0-64,Brandenburg,23666
2022,0-64,Bremen,5926
2022,0-64,Hamburg,16865
2022,0-64,Hessen,57334
2022,0-64,Mecklenburg-Vorpommern,14164
2022,0-64,Niedersachsen,71926
2022,0-64,Nordrhein-Westfalen,163252
2022,0-64,Rheinland-Pfalz,36093
2022,0-64,Saarland,7866
2022,0-64,Sachsen,37373
2022,0-64,Sachsen-Anhalt,18615
2022,0-64,Schleswig-Holstein,26111
2022,0-64,Thüringen,18772
2022,0-64,Baden-Württemberg,99003
2022,0-64,Bayern,114168
2022,0-64,Berlin,32367
2022,0-64,Brandenburg,23189
2022,0-64,Bremen,5603
2022,0-64,Hamburg,16014
2022,0-64,Hessen,57279
2022,0-64,Mecklenburg-Vorpommern,14075
2022,0-64,Niedersachsen,70824
2022,0-64,Nordrhein-Westfalen,159353
2022,0-64,Rheinland-Pfalz,35946
2022,0-64,Saarland,8073
2022,0-64,Sachsen,36750
2022,0-64,Sachsen-Anhalt,18218
2022,0-64,Schleswig-Holstein,25366
2022,0-64,Thüringen,18438
2022,0-64,Baden-Württemberg,101858
2022,0-64,Bayern,116082
2022,0-64,Berlin,32879
2022,0-64,Brandenburg,23913
2022,0-64,Bremen,5920
2022,0-64,Hamburg,16250
2022,0-64,Hessen,58225
2022,0-64,Mecklenburg-Vorpommern,14641
2022,0-64,Niedersachsen,73267
2022,0-64,Nordrhein-Westfalen,163778
2022,0-64,Rheinland-Pfalz,36530
2022,0-64,Saarland,8061
2022,0-64,Sachsen,37241
2022,0-64,Sachsen-Anhalt,18560
2022,0-64,Schleswig-Holstein,26517
2022,0-64,Thüringen,18878
2022,0-64,Baden-Württemberg,100994
2022,0-64,Bayern,114417
2022,0-64,Berlin,32191
2022,0-64,Brandenburg,23272
2022,0-64,Bremen,5987
2022,0-64,Hamburg,15956
2022,0-64,Hessen,57403
2022,0-64,Mecklenburg-Vorpommern,14342
2022,0-64,Niedersachsen,72499
2022,0-64,Nordrhein-Westfalen,161779
2022,0-64,Rheinland-Pfalz,35773
2022,0-64,Saarland,8033
2022,0-64,Sachsen,36091
2022,0-64,Sachsen-Anhalt,18277
2022,0-64,Schleswig-Holstein,26187
2022,0-64,Thüringen,18046
2022,0-64,Baden-Württemberg,103385
2022,0-64,Bayern,117764
2022,0-64,Berlin,32344
2022,0-64,Brandenburg,23593
2022,0-64,Bremen,5925
2022,0-64,Hamburg,16363
2022,0-64,Hessen,58682
2022,0-64,Mecklenburg-Vorpommern,14382
2022,0-64,Niedersachsen,74527
2022,0-64,Nordrhein-Westfalen,167177
2022,0-64,Rheinland-Pfalz,36973
2022,0-64,Saarland,8239
2022,0-64,Sachsen,36499
2022,0-64,Sachsen-Anhalt,18869
2022,0-64,Schleswig-Holstein,26855
2022,0-64,Thüringen,18503
2022,0-64,Baden-Württemberg,103817
2022,0-64,Bayern,117438
2022,0-64,Berlin,31348
2022,0-64,Brandenburg,22993
2022,0-64,Bremen,6207
2022,0-64,Hamburg,15957
2022,0-64,Hessen,58554
2022,0-64,Mecklenburg-Vorpommern,13812
2022,0-64,Niedersachsen,74585
2022,0-64,Nordrhein-Westfalen,166496
2022,0-64,Rheinland-Pfalz,36831
2022,0-64,Saarland,8106
2022,0-64,Sachsen,35391
2022,0-64,Sachsen-Anhalt,18161
2022,0-64,Schleswig-Holstein,27096
2022,0-64,Thüringen,18076
2022,0-64,Baden-Württemberg,102680
2022,0-64,Bayern,115309
2022,0-64,Berlin,30113
2022,0-64,Brandenburg,21862
2022,0-64,Bremen,6035
2022,0-64,Hamburg,15745
2022,0-64,Hessen,57347
2022,0-64,Mecklenburg-Vorpommern,13418
2022,0-64,Niedersachsen,73959
2022,0-64,Nordrhein-Westfalen,164680
2022,0-64,Rheinland-Pfalz,35992
2022,0-64,Saarland,8013
2022,0-64,Sachsen,33758
2022,0-64,Sachsen-Anhalt,17376
2022,0-64,Schleswig-Holstein,26682
2022,0-64,Thüringen,17049
2022,0-64,Baden-Württemberg,104908
2022,0-64,Bayern,117495
2022,0-64,Berlin,29535
2022,0-64,Brandenburg,21504
2022,0-64,Bremen,5977
2022,0-64,Hamburg,15847
2022,0-64,Hessen,58635
2022,0-64,Mecklenburg-Vorpommern,13006
2022,0-64,Niedersachsen,75378
2022,0-64,Nordrhein-Westfalen,167441
2022,0-64,Rheinland-Pfalz,36714
2022,0-64,Saarland,8310
2022,0-64,Sachsen,33762
2022,0-64,Sachsen-Anhalt,17556
2022,0-64,Schleswig-Holstein,26745
2022,0-64,Thüringen,17244
2022,0-64,Baden-Württemberg,106866
2022,0-64,Bayern,120281
2022,0-64,Berlin,29734
2022,0-64,Brandenburg,21796
2022,0-64,Bremen,6099
2022,0-64,Hamburg,15873
2022,0-64,Hessen,59540
2022,0-64,Mecklenburg-Vorpommern,13580
2022,0-64,Niedersachsen,78025
2022,0-64,Nordrhein-Westfalen,171263
2022,0-64,Rheinland-Pfalz,37537
2022,0-64,Saarland,8450
2022,0-64,Sachsen,34140
2022,0-64,Sachsen-Anhalt,17412
2022,0-64,Schleswig-Holstein,27843
2022,0-64,Thüringen,17810
2022,0-64,Baden-Württemberg,108834
2022,0-64,Bayern,122742
2022,0-64,Berlin,29457
2022,0-64,Brandenburg,21033
2022,0-64,Bremen,6378
2022,0-64,Hamburg,16138
2022,0-64,Hessen,59795
2022,0-64,Mecklenburg-Vorpommern,13308
2022,0-64,Niedersachsen,79180
2022,0-64,Nordrhein-Westfalen,173246
2022,0-64,Rheinland-Pfalz,38326
2022,0-64,Saarland,8510
2022,0-64,Sachsen,33698
2022,0-64,Sachsen-Anhalt,17075
2022,0-64,Schleswig-Holstein,28003
2022,0-64,Thüringen,17227
2022,0-64,Baden-Württemberg,113306
2022,0-64,Bayern,127598
2022,0-64,Berlin,31120
2022,0-64,Brandenburg,20216
2022,0-64,Bremen,6570
2022,0-64,Hamburg,16940
2022,0-64,Hessen,61489
2022,0-64,Mecklenburg-Vorpommern,13206
2022,0-64,Niedersachsen,82190
2022,0-64,Nordrhein-Westfalen,179173
2022,0-64,Rheinland-Pfalz,39213
2022,0-64,Saarland,8829
2022,0-64,Sachsen,34257
2022,0-64,Sachsen-Anhalt,17671
2022,0-64,Schleswig-Holstein,28496
2022,0-64,Thüringen,17432
2022,0-64,Baden-Württemberg,117810
2022,0-64,Bayern,133987
2022,0-64,Berlin,33423
2022,0-64,Brandenburg,19737
2022,0-64,Bremen,7548
2022,0-64,Hamburg,18397
2022,0-64,Hessen,64172
2022,0-64,Mecklenburg-Vorpommern,13617
2022,0-64,Niedersachsen,84381
2022,0-64,Nordrhein-Westfalen,187189
2022,0-64,Rheinland-Pfalz,40668
2022,0-64,Saarland,9110
2022,0-64,Sachsen,35488
2022,0-64,Sachsen-Anhalt,18330
2022,0-64,Schleswig-Holstein,29307
2022,0-64,Thüringen,18271
2022,0-64,Baden-Württemberg,125756
2022,0-64,Bayern,142715
2022,0-64,Berlin,37137
2022,0-64,Brandenburg,20294
2022,0-64,Bremen,8281
2022,0-64,Hamburg,20580
2022,0-64,Hessen,68694
2022,0-64,Mecklenburg-Vorpommern,14180
2022,0-64,Niedersachsen,88800
2022,0-64,Nordrhein-Westfalen,198581
2022,0-64,Rheinland-Pfalz,43254
2022,0-64,Saarland,9624
2022,0-64,Sachsen,37656
2022,0-64,Sachsen-Anhalt,19132
2022,0-64,Schleswig-Holstein,30950
2022,0-64,Thüringen,18653
2022,0-64,Baden-Württemberg,129327
2022,0-64,Bayern,148366
2022,0-64,Berlin,39314
2022,0-64,Brandenburg,19601
2022,0-64,Bremen,8843
2022,0-64,Hamburg,21875
2022,0-64,Hessen,70666
2022,0-64,Mecklenburg-Vorpommern,13438
2022,0-64,Niedersachsen,89689
2022,0-64,Nordrhein-Westfalen,202663
2022,0-64,Rheinland-Pfalz,44014
2022,0-64,Saarland,10088
2022,0-64,Sachsen,36794
2022,0-64,Sachsen-Anhalt,18615
2022,0-64,Schleswig-Holstein,31531
2022,0-64,Thüringen,18167
2022,0-64,Baden-Württemberg,133530
2022,0-64,Bayern,155900
2022,0-64,Berlin,42165
2022,0-64,Brandenburg,18925
2022,0-64,Bremen,9307
2022,0-64,Hamburg,23836
2022,0-64,Hessen,73466
2022,0-64,Mecklenburg-Vorpommern,13147
2022,0-64,Niedersachsen,91943
2022,0-64,Nordrhein-Westfalen,209237
2022,0-64,Rheinland-Pfalz,45312
2022,0-64,Saarland,10149
2022,0-64,Sachsen,36001
2022,0-64,Sachsen-Anhalt,17984
2022,0-64,Schleswig-Holstein,31330
2022,0-64,Thüringen,17900
2022,0-64,Baden-Württemberg,139705
2022,0-64,Bayern,162589
2022,0-64,Berlin,46612
2022,0-64,Brandenburg,18324
2022,0-64,Bremen,9515
2022,0-64,Hamburg,26178
2022,0-64,Hessen,78364
2022,0-64,Mecklenburg-Vorpommern,13238
2022,0-64,Niedersachsen,95665
2022,0-64,Nordrhein-Westfalen,219729
2022,0-64,Rheinland-Pfalz,47879
2022,0-64,Saarland,10949
2022,0-64,Sachsen,36253
2022,0-64,Sachsen-Anhalt,18234
2022,0-64,Schleswig-Holstein,32429
2022,0-64,Thüringen,18019
2022,0-64,Baden-Württemberg,139281
2022,0-64,Bayern,162243
2022,0-64,Berlin,49213
2022,0-64,Brandenburg,17629
2022,0-64,Bremen,9518
2022,0-64,Hamburg,27111
2022,0-64,Hessen,77052
2022,0-64,Mecklenburg-Vorpommern,12592
2022,0-64,Niedersachsen,94058
2022,0-64,Nordrhein-Westfalen,219907
2022,0-64,Rheinland-Pfalz,47416
2022,0-64,Saarland,11087
2022,0-64,Sachsen,35266
2022,0-64,Sachsen-Anhalt,17232
2022,0-64,Schleswig-Holstein,32052
2022,0-64,Thüringen,16938
2022,0-64,Baden-Württemberg,138023
2022,0-64,Bayern,161722
2022,0-64,Berlin,51509
2022,0-64,Brandenburg,16373
2022,0-64,Bremen,9411
2022,0-64,Hamburg,27433
2022,0-64,Hessen,76158
2022,0-64,Mecklenburg-Vorpommern,11487
2022,0-64,Niedersachsen,92073
2022,0-64,Nordrhein-Westfalen,216357
2022,0-64,Rheinland-Pfalz,46297
2022,0-64,Saarland,10913
2022,0-64,Sachsen,33007
2022,0-64,Sachsen-Anhalt,16019
2022,0-64,Schleswig-Holstein,31135
2022,0-64,Thüringen,15840
2022,0-64,Baden-Württemberg,139843
2022,0-64,Bayern,164016
2022,0-64,Berlin,53829
2022,0-64,Brandenburg,15994
2022,0-64,Bremen,9555
2022,0-64,Hamburg,28902
2022,0-64,Hessen,77352
2022,0-64,Mecklenburg-Vorpommern,10848
2022,0-64,Niedersachsen,93180
2022,0-64,Nordrhein-Westfalen,220325
2022,0-64,Rheinland-Pfalz,47519
2022,0-64,Saarland,11169
2022,0-64,Sachsen,32011
2022,0-64,Sachsen-Anhalt,15298
2022,0-64,Schleswig-Holstein,31616
2022,0-64,Thüringen,14751
2022,0-64,Baden-Württemberg,143684
2022,0-64,Bayern,171160
2022,0-64,Berlin,56293
2022,0-64,Brandenburg,15930
2022,0-64,Bremen,9599
2022,0-64,Hamburg,29679
2022,0-64,Hessen,78927
2022,0-64,Mecklenburg-Vorpommern,11150
2022,0-64,Niedersachsen,95053
2022,0-64,Nordrhein-Westfalen,227101
2022,0-64,Rheinland-Pfalz,49349
2022,0-64,Saarland,11450
2022,0-64,Sachsen,32313
2022,0-64,Sachsen-Anhalt,15523
2022,0-64,Schleswig-Holstein,32238
2022,0-64,Thüringen,15184
2022,0-64,Baden-Württemberg,145456
2022,0-64,Bayern,173481
2022,0-64,Berlin,57959
2022,0-64,Brandenburg,17251
2022,0-64,Bremen,9541
2022,0-64,Hamburg,29886
2022,0-64,Hessen,79498
2022,0-64,Mecklenburg-Vorpommern,12182
2022,0-64,Niedersachsen,95399
2022,0-64,Nordrhein-Westfalen,228759
2022,0-64,Rheinland-Pfalz,50060
2022,0-64,Saarland,11857
2022,0-64,Sachsen,33152
2022,0-64,Sachsen-Anhalt,16424
2022,0-64,Schleswig-Holstein,32617
2022,0-64,Thüringen,16014
2022,0-64,Baden-Württemberg,148722
2022,0-64,Bayern,176950
2022,0-64,Berlin,60675
2022,0-64,Brandenburg,19821
2022,0-64,Bremen,9736
2022,0-64,Hamburg,30832
2022,0-64,Hessen,81615
2022,0-64,Mecklenburg-Vorpommern,13533
2022,0-64,Niedersachsen,96881
2022,0-64,Nordrhein-Westfalen,232650
2022,0-64,Rheinland-Pfalz,51309
2022,0-64,Saarland,12027
2022,0-64,Sachsen,37835
2022,0-64,Sachsen-Anhalt,18237
2022,0-64,Schleswig-Holstein,33642
2022,0-64,Thüringen,17946
2022,0-64,Baden-Württemberg,155874
2022,0-64,Bayern,185381
2022,0-64,Berlin,68537
2022,0-64,Brandenburg,28751
2022,0-64,Bremen,9979
2022,0-64,Hamburg,32507
2022,0-64,Hessen,85692
2022,0-64,Mecklenburg-Vorpommern,19853
2022,0-64,Niedersachsen,101461
2022,0-64,Nordrhein-Westfalen,241152
2022,0-64,Rheinland-Pfalz,53196
2022,0-64,Saarland,12415
2022,0-64,Sachsen,52711
2022,0-64,Sachsen-Anhalt,25932
2022,0-64,Schleswig-Holstein,35576
2022,0-64,Thüringen,25137
2022,0-64,Baden-Württemberg,151922
2022,0-64,Bayern,180715
2022,0-64,Berlin,68498
2022,0-64,Brandenburg,30947
2022,0-64,Bremen,9857
2022,0-64,Hamburg,31526
2022,0-64,Hessen,84711
2022,0-64,Mecklenburg-Vorpommern,20914
2022,0-64,Niedersachsen,99494
2022,0-64,Nordrhein-Westfalen,233807
2022,0-64,Rheinland-Pfalz,52158
2022,0-64,Saarland,12142
2022,0-64,Sachsen,54621
2022,0-64,Sachsen-Anhalt,26840
2022,0-64,Schleswig-Holstein,34874
2022,0-64,Thüringen,25679
2022,0-64,Baden-Württemberg,154546
2022,0-64,Bayern,184145
2022,0-64,Berlin,68580
2022,0-64,Brandenburg,32546
2022,0-64,Bremen,9926
2022,0-64,Hamburg,31787
2022,0-64,Hessen,85379
2022,0-64,Mecklenburg-Vorpommern,21861
2022,0-64,Niedersachsen,101928
2022,0-64,Nordrhein-Westfalen,237809
2022,0-64,Rheinland-Pfalz,53474
2022,0-64,Saarland,12386
2022,0-64,Sachsen,55975
2022,0-64,Sachsen-Anhalt,28041
2022,0-64,Schleswig-Holstein,35902
2022,0-64,Thüringen,27494
2022,0-64,Baden-Württemberg,148793
2022,0-64,Bayern,178341
2022,0-64,Berlin,66545
2022,0-64,Brandenburg,33462
2022,0-64,Bremen,9406
2022,0-64,Hamburg,30300
2022,0-64,Hessen,83022
2022,0-64,Mecklenburg-Vorpommern,22290
2022,0-64,Niedersachsen,99860
2022,0-64,Nordrhein-Westfalen,232083
2022,0-64,Rheinland-Pfalz,52167
2022,0-64,Saarland,12169
2022,0-64,Sachsen,56816
2022,0-64,Sachsen-Anhalt,28083
2022,0-64,Schleswig-Holstein,35322
2022,0-64,Thüringen,27896
2022,0-64,Baden-Württemberg,147686
2022,0-64,Bayern,176686
2022,0-64,Berlin,63954
2022,0-64,Brandenburg,32962
2022,0-64,Bremen,9265
2022,0-64,Hamburg,29276
2022,0-64,Hessen,81750
2022,0-64,Mecklenburg-Vorpommern,21539
2022,0-64,Niedersachsen,97890
2022,0-64,Nordrhein-Westfalen,227416
2022,0-64,Rheinland-Pfalz,51258
2022,0-64,Saarland,11983
2022,0-64,Sachsen,54480
2022,0-64,Sachsen-Anhalt,27319
2022,0-64,Schleswig-Holstein,34427
2022,0-64,Thüringen,27091
2022,0-64,Baden-Württemberg,142710
2022,0-64,Bayern,169600
2022,0-64,Berlin,61743
2022,0-64,Brandenburg,33752
2022,0-64,Bremen,8864
2022,0-64,Hamburg,28258
2022,0-64,Hessen,78881
2022,0-64,Mecklenburg-Vorpommern,21366
2022,0-64,Niedersachsen,94335
2022,0-64,Nordrhein-Westfalen,219154
2022,0-64,Rheinland-Pfalz,49323
2022,0-64,Saarland,11450
2022,0-64,Sachsen,54656
2022,0-64,Sachsen-Anhalt,27006
2022,0-64,Schleswig-Holstein,33341
2022,0-64,Thüringen,26894
2022,0-64,Baden-Württemberg,142077
2022,0-64,Bayern,169142
2022,0-64,Berlin,59380
2022,0-64,Brandenburg,33166
2022,0-64,Bremen,8560
2022,0-64,Hamburg,27887
2022,0-64,Hessen,79656
2022,0-64,Mecklenburg-Vorpommern,20982
2022,0-64,Niedersachsen,93091
2022,0-64,Nordrhein-Westfalen,217422
2022,0-64,Rheinland-Pfalz,49361
2022,0-64,Saarland,11324
2022,0-64,Sachsen,53484
2022,0-64,Sachsen-Anhalt,27057
2022,0-64,Schleswig-Holstein,33416
2022,0-64,Thüringen,27028
2022,0-64,Baden-Württemberg,140815
2022,0-64,Bayern,170150
2022,0-64,Berlin,57441
2022,0-64,Brandenburg,33626
2022,0-64,Bremen,8824
2022,0-64,Hamburg,27318
2022,0-64,Hessen,79064
2022,0-64,Mecklenburg-Vorpommern,21102
2022,0-64,Niedersachsen,94018
2022,0-64,Nordrhein-Westfalen,217975
2022,0-64,Rheinland-Pfalz,49375
2022,0-64,Saarland,11440
2022,0-64,Sachsen,53794
2022,0-64,Sachsen-Anhalt,27169
2022,0-64,Schleswig-Holstein,33969
2022,0-64,Thüringen,27143
2022,0-64,Baden-Württemberg,143873
2022,0-64,Bayern,173797
