"iso3c","jurisdiction","type","source","min_date","max_date","age_groups"
"USA-TN","USA - Tennessee",2,"cdc",2000-01-01,2023-04-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"USA-TX","USA - Texas",3,"cdc",2017-01-02,2023-08-07,"0-24, 25-44, 45-64, 65-74, 75-84, 85+, all"
"USA-TX","USA - Texas",2,"cdc",2000-01-01,2023-04-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"USA-UT","USA - Utah",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-UT","USA - Utah",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-UT","USA - Utah",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-VA","USA - Virginia",3,"cdc",2017-01-02,2023-08-07,"0-24, 25-44, 45-64, 65-74, 75-84, 85+, all"
"USA-VA","USA - Virginia",2,"cdc",2000-01-01,2023-04-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+, all"
"USA-VT","USA - Vermont",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-VT","USA - Vermont",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-VT","USA - Vermont",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-WA","USA - Washington",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-WA","USA - Washington",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-WA","USA - Washington",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-WI","USA - Wisconsin",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-WI","USA - Wisconsin",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-WI","USA - Wisconsin",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-WV","USA - West Virginia",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-WV","USA - West Virginia",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-WV","USA - West Virginia",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"USA-WY","USA - Wyoming",3,"cdc",2017-01-02,2023-08-07,"all"
"USA-WY","USA - Wyoming",2,"cdc",2000-01-01,2023-04-01,"all"
"USA-WY","USA - Wyoming",1,"cdc",2000-01-01,2022-01-01,"0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, 70-79, 80+"
"UZB","Uzbekistan",2,"world_mortality",2015-01-01,2023-06-01,"all"
"VCT","Saint Vincent And The Grenadines",2,"world_mortality",2015-01-01,2021-12-01,"all"
"ZAF","South Africa",3,"world_mortality",2014-12-29,2023-07-24,"all"
