"iso3c","chart_type","type","window"
"FRA","yearly","cmr","9"
"FRO","yearly","cmr","10"
"FSM","yearly","cmr","5"
"GAB","yearly","cmr","5"
"GBR","yearly","cmr","8"
"GBRTENW","yearly","cmr","5"
"GBR_NIR","yearly","cmr",
"GBR_SCO","yearly","cmr","5"
"GEO","yearly","cmr","10"
"GGY","yearly","cmr","11"
"GHA","yearly","cmr","5"
"GIB","yearly","cmr","8"
"GIN","yearly","cmr","5"
"GLP","yearly","cmr","5"
"GMB","yearly","cmr","5"
"GNB","yearly","cmr","8"
"GNQ","yearly","cmr","11"
"GRC","yearly","cmr","6"
"GRD","yearly","cmr","7"
"GRL","yearly","cmr","5"
"GTM","yearly","cmr","12"
"GUF","yearly","cmr","5"
"GUM","yearly","cmr","5"
"GUY","yearly","cmr","5"
"HKG","yearly","cmr","5"
"HND","yearly","cmr","11"
"HRV","yearly","cmr","5"
"HTI","yearly","cmr","12"
"HUN","yearly","cmr","7"
"IDN","yearly","cmr","11"
"IMN","yearly","cmr","6"
"IND","yearly","cmr","9"
"IRL","yearly","cmr","6"
"IRN","yearly","cmr","6"
"IRQ","yearly","cmr","12"
"ISL","yearly","cmr","12"
"ISR","yearly","cmr","6"
"ITA","yearly","cmr","9"
"JAM","yearly","cmr","5"
"JEY","yearly","cmr","9"
"JOR","yearly","cmr","5"
"JPN","yearly","cmr","8"
"KAZ","yearly","cmr","5"
"KEN","yearly","cmr","5"
"KGZ","yearly","cmr","5"
"KHM","yearly","cmr","12"
"KIR","yearly","cmr","5"
"KNA","yearly","cmr","12"
"KOR","yearly","cmr","12"
"KWT","yearly","cmr","5"
"LAO","yearly","cmr","8"
"LBN","yearly","cmr","10"
"LBR","yearly","cmr","6"
"LBY","yearly","cmr","5"
"LCA","yearly","cmr","5"
"LIE","yearly","cmr","12"
"LKA","yearly","cmr","6"
"LSO","yearly","cmr","5"
"LTU","yearly","cmr","5"
"LUX","yearly","cmr","12"
"LVA","yearly","cmr","6"
"MAC","yearly","cmr","5"
"MAF","yearly","cmr","5"
"MAR","yearly","cmr","5"
"MCO","yearly","cmr","5"
"MDA","yearly","cmr","5"
"MDG","yearly","cmr","5"
"MDV","yearly","cmr","5"
"MEX","yearly","cmr","5"
"MHL","yearly","cmr","11"
"MKD","yearly","cmr","9"
"MLI","yearly","cmr","5"
"MLT","yearly","cmr","8"
"MMR","yearly","cmr","10"
"MNE","yearly","cmr","5"
"MNG","yearly","cmr","8"
"MNP","yearly","cmr","5"
"MOZ","yearly","cmr","5"
"MRT","yearly","cmr","5"
"MSR","yearly","cmr",
"MTQ","yearly","cmr","10"
"MUS","yearly","cmr","10"
"MWI","yearly","cmr","5"
"MYS","yearly","cmr","5"
"MYT","yearly","cmr","5"
"NAM","yearly","cmr","5"
"NCL","yearly","cmr","5"
"NER","yearly","cmr","5"
"NGA","yearly","cmr","5"
"NIC","yearly","cmr","9"
"NIU","yearly","cmr",
"NLD","yearly","cmr","5"
"NOR","yearly","cmr","7"
"NPL","yearly","cmr","5"
"NRU","yearly","cmr",
"NZL","yearly","cmr","10"
"OMN","yearly","cmr","5"
"PAK","yearly","cmr","7"
"PAN","yearly","cmr","5"
"PER","yearly","cmr","9"
"PHL","yearly","cmr","5"
"PLW","yearly","cmr","5"
"PNG","yearly","cmr","5"
"POL","yearly","cmr","7"
"PRI","yearly","cmr","5"
"PRK","yearly","cmr","12"
"PRT","yearly","cmr","9"
"PRY","yearly","cmr","5"
"PSE","yearly","cmr","12"
"PYF","yearly","cmr","5"
"QAT","yearly","cmr","5"
"REU","yearly","cmr","9"
"ROU","yearly","cmr","12"
"RUS","yearly","cmr","5"
"RWA","yearly","cmr","12"
"SAU","yearly","cmr","5"
"SDN","yearly","cmr","6"
"SEN","yearly","cmr","5"
"SGP","yearly","cmr","12"
"SHN","yearly","cmr",
"SLB","yearly","cmr","9"
"SLE","yearly","cmr","5"
"SLV","yearly","cmr","5"
"SMR","yearly","cmr","6"
"SOM","yearly","cmr","12"
"SPM","yearly","cmr",
"SRB","yearly","cmr","5"
"SSD","yearly","cmr","12"
"STP","yearly","cmr","6"
"SUR","yearly","cmr","5"
"SVK","yearly","cmr","12"
"SVN","yearly","cmr","6"
"SWE","yearly","cmr","8"
"SWZ","yearly","cmr","5"
"SXM","yearly","cmr","11"
"SYC","yearly","cmr","8"
"SYR","yearly","cmr","10"
"TCA","yearly","cmr","12"
"TCD","yearly","cmr","7"
"TGO","yearly","cmr","5"
"THA","yearly","cmr","5"
"TJK","yearly","cmr","6"
"TKL","yearly","cmr","7"
"TKM","yearly","cmr","5"
"TLS","yearly","cmr","5"
"TON","yearly","cmr","5"
"TTO","yearly","cmr","6"
"TUN","yearly","cmr","5"
"TUR","yearly","cmr","5"
"TUV","yearly","cmr","8"
"TWN","yearly","cmr","6"
"TZA","yearly","cmr","5"
"UGA","yearly","cmr","5"
"UKR","yearly","cmr","5"
"URY","yearly","cmr","5"
"USA","yearly","cmr","7"
"USA-AK","yearly","cmr","10"
"USA-AL","yearly","cmr","5"
"USA-AR","yearly","cmr","5"
"USA-AZ","yearly","cmr","5"
"USA-CA","yearly","cmr","5"
"USA-CO","yearly","cmr","5"
"USA-CT","yearly","cmr","5"
"USA-DC","yearly","cmr","5"
"USA-DE","yearly","cmr","5"
"USA-FL","yearly","cmr","5"
"USA-GA","yearly","cmr","5"
"USA-HI","yearly","cmr","5"
"USA-IA","yearly","cmr","7"
"USA-ID","yearly","cmr","5"
"USA-IL","yearly","cmr","5"
"USA-IN","yearly","cmr","5"
"USA-KS","yearly","cmr","6"
"USA-KY","yearly","cmr","5"
"USA-LA","yearly","cmr","7"
"USA-MA","yearly","cmr","5"
"USA-MD","yearly","cmr","5"
"USA-ME","yearly","cmr","5"
"USA-MI","yearly","cmr","7"
"USA-MN","yearly","cmr","5"
"USA-MO","yearly","cmr","5"
"USA-MS","yearly","cmr","5"
"USA-MT","yearly","cmr","7"
"USA-NC","yearly","cmr","5"
"USA-ND","yearly","cmr","5"
"USA-NE","yearly","cmr","7"
