"iso3c","date","deaths","deaths_baseline","deaths_baseline_lower","deaths_baseline_upper","deaths_excess","deaths_excess_lower","deaths_excess_upper","population","cmr","cmr_baseline","cmr_baseline_lower","cmr_baseline_upper","cmr_excess","cmr_excess_lower","cmr_excess_upper","asmr_who","asmr_who_baseline","asmr_who_baseline_lower","asmr_who_baseline_upper","asmr_who_excess","asmr_who_excess_lower","asmr_who_excess_upper","asmr_esp","asmr_esp_baseline","asmr_esp_baseline_lower","asmr_esp_baseline_upper","asmr_esp_excess","asmr_esp_excess_lower","asmr_esp_excess_upper","asmr_usa","asmr_usa_baseline","asmr_usa_baseline_lower","asmr_usa_baseline_upper","asmr_usa_excess","asmr_usa_excess_lower","asmr_usa_excess_upper","asmr_country","asmr_country_baseline","asmr_country_baseline_lower","asmr_country_baseline_upper","asmr_country_excess","asmr_country_excess_lower","asmr_country_excess_upper"
"AZE","2020-2021",84825,,,,,,,10311560,822.8,,,,,,
"AZE","2021-2022",67077,,,,,,,10376215,646.6,,,,,,
"BEL","2000-2001",103623,,,,,,,10275206,1008.5,,,,,,,539.3,,,,,,,1221.2,,,,,,,850.5,,,,,,,1286.8,,,,,,
"BEL","2001-2002",104743,,,,,,,10320712,1014.9,,,,,,,531.5,,,,,,,1205.1,,,,,,,838.2,,,,,,,1269.5,,,,,,
"BEL","2002-2003",106018,,,,,,,10365327,1022.8,,,,,,,524.5,,,,,,,1194.6,,,,,,,830,,,,,,,1258.7,,,,,,
"BEL","2003-2004",103581,,,,,,,10408537,995.2,,,,,,,501.1,,,,,,,1143.1,,,,,,,793.6,,,,,,,1204.2,,,,,,
"BEL","2004-2005",103619,,,,,,,10462027,990.5,,,,,,,491.9,,,,,,,1117.6,,,,,,,776.5,,,,,,,1177.1,,,,,,
"BEL","2005-2006",102619,,,,,,,10529078,974.7,,,,,,,477.1,,,,,,,1082.6,,,,,,,752.9,,,,,,,1140.2,,,,,,
"BEL","2006-2007",99787,102841,97569,108112,-3054,2218,-8325,10604470,941.1,965.65,920.33,1010.98,-24.55,20.77,-69.88,457.5,,,,,,,1029.3,,,,,,,717.1,,,,,,,1082.9,,,,,,
"BEL","2007-2008",104835,103501,98356,108646,1334,6479,-3811,10687605,981,965.29,921.06,1009.53,15.71,59.94,-28.53,467.4,462.49,446.01,478.97,4.91,21.39,-11.57,1058.2,,,,,,,736.1,,,,,,,1115.4,,,,,,
"BEL","2008-2009",104798,104161,99122,109200,637,5676,-4402,10773805,972.9,964.94,921.61,1008.26,7.96,51.29,-35.36,456.4,456.13,440.1,472.15,0.27,16.3,-15.75,1036.8,,,,,,,720.6,,,,,,,1093.1,,,,,,
"BEL","2009-2010",104614,104821,99866,109777,-207,4748,-5163,10863992,963,964.58,921.97,1007.18,-1.58,41.03,-44.18,446.8,449.76,434.11,465.42,-2.96,12.69,-18.62,1013.6,,,,,,,704.5,,,,,,,1068.9,,,,,,
"BEL","2010-2011",103756,105482,100587,110376,-1726,3169,-6620,10962831,946.5,964.22,922.13,1006.3,-17.72,24.37,-59.8,432.9,443.4,428.03,458.77,-10.5,4.87,-25.87,984.7,,,,,,,683.7,,,,,,,1038.6,,,,,,
"BEL","2011-2012",109025,106142,101284,110999,2883,7741,-1974,11062229,985.7,963.86,922.09,1005.63,21.84,63.61,-19.93,443.4,437.04,421.85,452.22,6.36,21.55,-8.82,1015.4,,,,,,,704,,,,,,,1072.8,,,,,,
"BEL","2012-2013",110133,106802,101957,111647,3331,8176,-1514,11146263,988.1,963.5,921.84,1005.16,24.6,66.26,-17.06,439.7,430.67,415.59,445.76,9.03,24.11,-6.06,1010.7,990.62,935.9,1045.35,20.08,74.8,-34.65,699.8,685.92,649.27,722.57,13.88,50.53,-22.77,1067.9,1046.52,987.01,1106.04,21.38,80.89,-38.14
"BEL","2013-2014",104280,107462,102605,112320,-3182,1675,-8040,11194757,931.6,963.14,921.37,1004.91,-31.54,10.23,-73.31,411.4,424.31,409.22,439.4,-12.91,2.18,-28,943.1,978.32,927.04,1029.6,-35.22,16.06,-86.5,653.4,677.07,642.73,711.42,-23.67,10.67,-58.02,996.2,1034.25,978.48,1090.02,-38.05,17.72,-93.82
"BEL","2014-2015",110856,108122,103228,113017,2734,7628,-2161,11255472,985,962.78,920.7,1004.87,22.22,64.3,-19.87,424.3,417.95,402.76,433.13,6.35,21.54,-8.83,985,966.02,916.92,1015.12,18.98,68.08,-30.12,680.4,668.22,635.34,701.1,12.18,45.06,-20.7,1042.9,1021.97,968.58,1075.37,20.93,74.32,-32.47
