"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Indiana","18","2015","2015",19051,127810,14905.7
,"Indiana","18","2016","2016",18904,128469,14714.8
,"Indiana","18","2017","2017",19367,130060,14890.8
"Total","Indiana","18",,,315721,2089947,15106.7
,"Iowa","19","1999","1999",9891,64782,15268.1
,"Iowa","19","2000","2000",9882,65118,15175.5
,"Iowa","19","2001","2001",9888,66060,14968.2
,"Iowa","19","2002","2002",10131,66397,15258.2
,"Iowa","19","2003","2003",10286,67377,15266.3
,"Iowa","19","2004","2004",9784,68151,14356.4
,"Iowa","19","2005","2005",10153,69123,14688.3
,"Iowa","19","2006","2006",10125,70685,14324.1
,"Iowa","19","2007","2007",10144,72068,14075.6
,"Iowa","19","2008","2008",10834,72837,14874.3
,"Iowa","19","2009","2009",10307,73536,14016.3
,"Iowa","19","2010","2010",10479,74658,14036.0
,"Iowa","19","2011","2011",10797,76658,14084.6
,"Iowa","19","2012","2012",11029,77372,14254.5
,"Iowa","19","2013","2013",11199,78495,14267.2
,"Iowa","19","2014","2014",11165,78702,14186.4
,"Iowa","19","2015","2015",11374,79186,14363.7
,"Iowa","19","2016","2016",11184,78700,14210.9
,"Iowa","19","2017","2017",11507,79337,14504.0
"Total","Iowa","19",,,200159,1379242,14512.2
,"Kansas","20","1999","1999",7987,51497,15509.6
,"Kansas","20","2000","2000",8317,51770,16065.3
,"Kansas","20","2001","2001",8031,52044,15431.2
,"Kansas","20","2002","2002",8343,52027,16035.9
,"Kansas","20","2003","2003",8246,52541,15694.4
,"Kansas","20","2004","2004",7744,53132,14575.0
,"Kansas","20","2005","2005",8214,54236,15144.9
,"Kansas","20","2006","2006",8215,55619,14770.1
,"Kansas","20","2007","2007",8398,57060,14717.8
,"Kansas","20","2008","2008",8652,57764,14978.2
,"Kansas","20","2009","2009",8076,58686,13761.4
,"Kansas","20","2010","2010",8600,59318,14498.1
,"Kansas","20","2011","2011",8960,61406,14591.4
,"Kansas","20","2012","2012",8746,62168,14068.3
,"Kansas","20","2013","2013",9057,62991,14378.2
,"Kansas","20","2014","2014",8975,63827,14061.4
